"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";2004;2205;2415;2745;2963;2636;2427;2513;2622;2450;2188;1818;1521;1303;1131;798;753;34492
"350020 Adolfo";235;247;265;310;319;279;247;268;294;271;233;202;156;120;96;70;65;3677
"350030 Aguaí";2581;2601;2710;2807;3001;2791;2373;2203;2172;1983;1722;1391;1025;759;674;484;453;31730
"350040 Águas da Prata";480;490;545;589;651;561;516;520;558;564;475;399;319;282;262;218;198;7627
"350050 Águas de Lindóia";1146;1275;1316;1398;1496;1485;1352;1283;1254;1147;980;837;642;556;467;345;353;17332
"350055 Águas de Santa Bárbara";425;469;467;470;443;420;413;418;390;353;326;285;215;175;144;107;100;5620
"350060 Águas de São Pedro";125;138;168;160;183;183;159;166;190;184;150;146;142;130;109;91;103;2527
"350070 Agudos";2694;2898;3027;3179;3286;3082;2703;2532;2341;2139;1857;1477;1084;850;656;464;455;34724
"350075 Alambari";393;427;411;426;434;424;341;291;279;264;258;196;156;109;100;63;62;4634
"350080 Alfredo Marcondes";216;266;271;295;315;292;279;280;291;260;233;213;197;174;137;106;99;3924
"350090 Altair";326;330;333;339;363;372;315;284;258;208;164;148;128;96;69;40;47;3820
"350100 Altinópolis";1043;1265;1300;1360;1438;1353;1166;1080;1088;1041;923;820;602;495;384;284;289;15931
"350110 Alto Alegre";260;258;296;337;358;312;278;277;307;292;260;248;222;194;137;113;95;4244
"350115 Alumínio";1410;1553;1534;1496;1582;1552;1461;1320;1192;957;758;605;466;359;246;144;127;16762
"350120 Álvares Florence";203;248;266;299;302;268;257;316;350;309;285;263;233;191;147;90;84;4111
"350130 Álvares Machado";1664;2002;2053;2063;2050;1867;1799;1818;1735;1503;1305;1107;883;685;517;367;389;23807
"350140 Álvaro de Carvalho";317;309;327;382;496;635;486;349;270;241;205;161;126;105;76;55;59;4599
"350150 Alvinlândia";257;267;261;257;273;262;230;201;186;175;151;142;111;88;69;50;41;3021
"350160 Americana";13341;14041;15018;16670;18688;18284;16762;16249;16306;15172;12822;9875;7265;5732;4570;3323;3152;207270
"350170 Américo Brasiliense";2777;2939;3017;3139;3325;3309;2932;2675;2364;1929;1513;1159;848;602;414;274;240;33456
"350180 Américo de Campos";361;402;422;441;492;434;391;388;442;423;373;310;290;230;165;126;115;5805
"350190 Amparo";4097;4608;4918;5432;5980;5718;5187;4934;4729;4512;3890;3149;2429;2036;1644;1219;1277;65759
"350200 Analândia";342;320;349;358;384;346;294;285;287;266;224;193;155;137;107;74;63;4184
"350210 Andradina";3703;3949;4207;4485;4806;4702;4458;4271;4217;3864;3331;2854;2358;1887;1439;1015;1019;56565
"350220 Angatuba";1721;1828;1900;1937;1928;1763;1613;1602;1599;1406;1230;978;749;561;421;319;313;21868
"350230 Anhembi";493;509;465;479;447;447;415;378;365;335;282;241;171;147;120;84;77;5455
"350240 Anhumas";262;313;309;320;338;305;260;283;275;233;196;167;140;114;93;61;60;3729
"350250 Aparecida";2601;2717;2885;3120;3363;3132;2743;2660;2591;2438;2046;1615;1221;934;713;497;512;35788
"350260 Aparecida d'Oeste";262;330;348;346;349;321;333;354;357;319;304;268;221;211;160;103;110;4696
"350270 Apiaí";2155;2767;2646;2491;2375;2135;1974;1835;1669;1483;1256;1037;794;631;481;328;298;26355
"350275 Araçariguama";1567;1523;1538;1481;1519;1443;1274;1156;1026;855;712;520;384;280;198;131;126;15733
"350280 Araçatuba";11930;12473;13099;14101;15764;15618;14547;14139;14072;12996;11112;9078;6971;5689;4384;3084;3105;182162
"350290 Araçoiaba da Serra";1962;2129;2149;2190;2185;2092;1985;1919;1824;1664;1437;1229;947;721;560;389;349;25731
"350300 Aramina";337;370;405;454;460;424;355;374;392;366;295;239;204;181;140;85;76;5157
"350310 Arandu";455;551;589;588;571;515;492;412;405;395;332;278;210;170;130;80;75;6248
"350315 Arapeí";197;218;224;230;220;180;169;185;209;169;131;108;89;85;69;53;52;2588
"350320 Araraquara";13253;13656;14905;16570;18865;18517;16515;15207;15263;14326;12414;10107;7652;6065;4929;3727;3823;205794
"350330 Araras";8010;8530;9150;10036;11058;10448;9245;8801;8616;8068;6756;5340;4036;3142;2486;1830;1737;117289
"350335 Arco-Íris";129;136;148;174;176;159;139;149;141;139;123;109;95;84;59;40;39;2039
"350340 Arealva";504;574;580;595;612;577;539;515;574;562;484;423;374;316;255;183;180;7847
"350350 Areias";312;374;346;338;319;292;279;267;259;219;189;137;118;105;77;56;66;3753
"350360 Areiópolis";895;1052;1026;1075;1071;935;887;854;708;581;464;355;272;218;163;100;85;10741
"350370 Ariranha";632;617;641;714;750;736;668;642;569;524;482;388;292;234;217;181;143;8430
"350380 Artur Nogueira";3306;3601;3603;3695;4125;3920;3545;3235;2956;2548;2075;1597;1231;909;679;503;422;41950
"350390 Arujá";5879;6820;6587;6593;6869;6592;5895;5382;5111;4519;3829;2813;1806;1238;890;621;573;72017
"350395 Aspásia";104;130;139;147;149;125;131;153;150;142;110;97;89;74;56;33;37;1866
"350400 Assis";6533;6631;7011;7708;8504;8179;7369;6997;6997;6548;5639;4602;3584;2912;2344;1742;1727;95027
"350410 Atibaia";9064;10135;10074;10578;11493;11003;9936;9185;8820;8129;6890;5505;4229;3348;2665;1976;2006;125036
"350420 Auriflama";866;962;1098;1233;1240;1186;1070;1066;1108;982;822;709;577;490;399;275;246;14329
"350430 Avaí";379;429;460;474;425;383;357;348;335;318;274;221;170;132;110;76;76;4967
"350440 Avanhandava";873;896;1000;1039;1181;946;862;781;729;626;506;405;314;232;199;135;118;10842
"350450 Avaré";6214;6506;6591;7077;7652;7407;6690;5963;5667;5271;4604;3770;2836;2261;1806;1337;1303;82955
"350460 Bady Bassitt";972;1118;1104;1123;1166;1218;1243;1177;1065;933;797;600;467;389;304;193;174;14043
"350470 Balbinos";118;112;168;275;476;501;369;261;183;153;133;90;60;67;51;37;31;3085
"350480 Bálsamo";513;513;561;607;670;660;613;625;637;577;490;419;348;293;244;174;164;8108
"350490 Bananal";831;861;874;833;862;850;759;730;710;648;537;486;384;310;249;175;211;10310
"350500 Barão de Antonina";258;278;248;261;248;224;203;186;209;214;189;151;125;104;84;57;54;3093
"350510 Barbosa";521;584;599;558;561;505;474;469;446;404;342;285;231;205;146;101;93;6524
"350520 Bariri";2214;2493;2411;2500;2702;2518;2255;2154;2203;2113;1826;1460;1205;1018;876;679;707;31334
