"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";2051;2237;2454;2776;3006;2652;2425;2557;2621;2397;2133;1755;1474;1301;1115;772;716;34442
"350020 Adolfo";243;245;265;324;326;282;248;275;301;269;220;200;145;118;89;73;64;3687
"350030 Aguaí";2604;2625;2704;2808;3007;2695;2309;2193;2158;1948;1656;1345;946;753;665;480;436;31332
"350040 Águas da Prata";490;490;553;593;652;560;520;517;568;553;456;383;303;277;259;221;184;7579
"350050 Águas de Lindóia";1164;1300;1297;1430;1534;1464;1328;1292;1236;1131;943;807;604;559;456;339;329;17213
"350055 Águas de Santa Bárbara";433;484;449;483;451;411;416;418;383;346;317;277;195;174;143;106;94;5580
"350060 Águas de São Pedro";125;134;163;147;192;185;151;161;184;175;142;142;133;123;104;91;95;2447
"350070 Agudos";2738;2970;3015;3216;3322;3080;2653;2504;2322;2104;1800;1397;1030;830;628;465;433;34507
"350075 Alambari";394;423;390;432;425;413;325;284;268;259;251;183;146;102;100;61;57;4513
"350080 Alfredo Marcondes";221;270;274;290;312;304;282;281;293;251;225;210;193;168;134;104;91;3903
"350090 Altair";329;337;334;341;366;365;308;285;249;198;161;149;124;93;68;38;45;3790
"350100 Altinópolis";1066;1302;1283;1385;1468;1345;1137;1097;1088;1041;909;802;564;489;377;280;276;15909
"350110 Alto Alegre";266;262;301;348;358;310;278;278;318;288;261;241;221;192;129;117;88;4256
"350115 Alumínio";1429;1548;1520;1514;1595;1544;1446;1305;1167;926;739;580;455;349;223;143;117;16600
"350120 Álvares Florence";210;261;263;308;316;273;266;332;340;308;280;265;224;191;138;90;83;4148
"350130 Álvares Machado";1697;2034;2057;2069;2044;1887;1814;1842;1713;1460;1273;1091;831;672;490;367;370;23711
"350140 Álvaro de Carvalho";327;319;329;423;474;599;453;337;271;245;200;157;123;101;76;53;57;4544
"350150 Alvinlândia";261;276;250;260;279;271;217;204;181;171;144;143;107;83;68;49;40;3004
"350160 Americana";13466;14176;15033;16943;18716;17823;16374;16215;16146;14778;12245;9385;6864;5660;4412;3261;2954;204451
"350170 Américo Brasiliense";2775;2980;2976;3175;3264;3245;2838;2651;2263;1868;1444;1095;808;573;393;261;232;32841
"350180 Américo de Campos";371;410;411;453;493;440;381;400;448;417;357;308;290;217;155;132;108;5791
"350190 Amparo";4154;4667;4944;5546;6026;5570;5143;4881;4692;4441;3756;3016;2337;2016;1601;1192;1216;65198
"350200 Analândia";347;312;352;358;385;333;291;274;290;258;211;191;148;134;97;71;61;4113
"350210 Andradina";3793;4035;4221;4592;4864;4746;4430;4286;4233;3771;3229;2804;2285;1849;1382;1012;982;56514
"350220 Angatuba";1733;1816;1880;1940;1926;1740;1593;1601;1583;1354;1196;933;708;543;408;318;303;21575
"350230 Anhembi";494;508;439;478;452;448;400;367;354;328;267;234;160;141;118;84;72;5344
"350240 Anhumas";265;317;299;322;342;309;252;293;268;223;188;163;136;114;85;64;55;3695
"350250 Aparecida";2658;2768;2932;3159;3391;3117;2755;2679;2583;2427;1962;1568;1160;920;691;502;484;35756
"350260 Aparecida d'Oeste";274;341;343;350;363;342;341;368;347;317;305;253;221;219;143;103;110;4740
"350270 Apiaí";2221;2882;2586;2502;2511;2176;2010;1828;1675;1453;1219;1011;763;629;462;318;281;26527
"350275 Araçariguama";1539;1481;1502;1456;1460;1399;1213;1103;991;807;664;492;353;265;185;125;120;15155
"350280 Araçatuba";12129;12755;13017;14374;15988;15531;14375;14133;13967;12678;10716;8703;6692;5628;4200;3030;2951;180867
"350290 Araçoiaba da Serra";1956;2134;2038;2168;2182;2057;1938;1868;1760;1593;1349;1155;878;680;542;376;323;24997
"350300 Aramina";342;375;405;461;458;417;350;381;393;351;283;230;203;182;134;79;72;5116
"350310 Arandu";467;571;580;587;586;527;486;405;410;392;320;266;202;166;123;79;71;6238
"350315 Arapeí";202;222;221;235;230;179;172;191;213;156;126;105;90;84;70;51;51;2598
"350320 Araraquara";13370;13783;14918;16859;18812;18157;15974;15076;15208;13994;12008;9684;7229;6003;4807;3686;3586;203154
"350330 Araras";8082;8697;9126;10180;11082;10170;9001;8742;8557;7899;6438;5102;3828;3064;2430;1775;1638;115811
"350335 Arco-Íris";134;141;150;176;185;162;141;154;138;142;115;111;95;81;58;40;38;2061
"350340 Arealva";513;578;572;588;618;582;539;520;581;551;466;414;356;312;250;178;167;7785
"350350 Areias";318;382;338;338;329;298;276;269;256;214;178;131;117;105;74;59;60;3742
"350360 Areiópolis";910;1070;1031;1114;1050;923;906;854;685;559;448;339;265;214;160;98;81;10707
"350370 Ariranha";638;616;632;743;726;712;657;633;554;515;475;372;276;237;217;179;140;8322
"350380 Artur Nogueira";3292;3591;3516;3707;4094;3747;3453;3152;2860;2431;1979;1500;1160;860;650;492;380;40864
"350390 Arujá";5899;6836;6361;6583;6905;6490;5711;5261;4955;4391;3672;2610;1649;1167;854;599;521;70464
"350395 Aspásia";106;133;142;147;150;128;138;159;144;143;106;94;88;71;55;31;35;1870
"350400 Assis";6636;6740;7023;7845;8423;8123;7205;6997;6972;6437;5435;4408;3453;2860;2297;1710;1647;94211
"350410 Atibaia";9175;10211;9855;10755;11608;10947;9731;9037;8720;7883;6646;5288;4030;3204;2576;1948;1876;123490
"350420 Auriflama";880;966;1131;1232;1237;1203;1056;1077;1101;953;797;698;553;485;389;268;227;14253
"350430 Avaí";382;437;456;468;425;389;353;345;333;312;271;211;161;131;106;77;72;4929
"350440 Avanhandava";879;913;1016;1069;1107;855;841;763;706;608;479;395;295;226;198;132;115;10597
