"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";1765;1853;1934;1979;2263;2680;2710;2535;2437;2521;2600;2421;2051;1655;1269;990;1315;34978
"350020 Adolfo";199;204;205;204;219;270;275;240;240;265;276;271;229;174;122;88;99;3580
"350030 Aguaí";2662;2602;2529;2658;2842;3003;3096;2782;2363;2197;2097;1914;1578;1203;794;554;719;35593
"350040 Águas da Prata";439;449;449;451;497;578;595;550;536;547;605;608;519;394;298;235;344;8094
"350050 Águas de Lindóia";1112;1094;1081;1206;1302;1369;1475;1466;1325;1299;1264;1143;972;780;570;430;603;18491
"350055 Águas de Santa Bárbara";424;401;364;418;446;426;431;418;421;425;403;376;318;260;182;124;167;6004
"350060 Águas de São Pedro";141;158;160;168;193;204;219;232;216;219;255;252;201;187;170;134;199;3308
"350070 Agudos";2623;2541;2444;2618;2843;3069;3087;2891;2671;2451;2263;2058;1751;1284;880;623;730;36827
"350075 Alambari";478;443;428;460;449;449;492;473;390;336;312;301;265;196;135;91;111;5809
"350080 Alfredo Marcondes";196;197;227;237;245;291;286;272;294;307;307;288;245;214;190;142;190;4128
"350090 Altair";326;314;300;321;340;342;372;353;291;263;235;179;135;116;93;60;67;4107
"350100 Altinópolis";975;964;998;1134;1218;1263;1305;1265;1077;1026;1032;975;871;711;511;355;464;16144
"350110 Alto Alegre";221;228;222;238;263;318;327;280;259;267;295;269;243;217;180;136;159;4122
"350115 Alumínio";1430;1362;1407;1517;1512;1522;1558;1486;1331;1221;1068;849;688;511;367;265;243;18337
"350120 Álvares Florence";161;170;171;191;220;246;259;239;252;317;329;300;256;214;167;127;127;3746
"350130 Álvares Machado";1568;1522;1640;1769;1863;1977;1865;1741;1732;1743;1668;1486;1226;1021;756;529;636;24742
"350140 Álvaro de Carvalho";306;285;294;400;406;480;623;548;409;294;237;229;195;141;111;77;94;5129
"350150 Alvinlândia";253;247;222;235;237;244;240;258;234;201;178;167;143;112;90;62;68;3191
"350160 Americana";13483;13606;13790;15007;16677;18957;20471;19632;17639;16735;16293;14866;12073;9006;6226;4447;5659;234567
