"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";1925;2120;2328;2704;2860;2579;2433;2436;2611;2540;2286;1936;1629;1321;1169;869;849;34595
"350020 Adolfo";222;251;263;282;303;270;244;258;278;272;258;206;179;125;109;66;70;3656
"350030 Aguaí";2559;2533;2721;2830;2966;2956;2508;2236;2192;2042;1847;1483;1196;778;694;503;503;32547
"350040 Águas da Prata";467;488;530;592;615;559;511;526;538;582;515;432;356;297;270;217;231;7726
"350050 Águas de Lindóia";1121;1216;1352;1346;1418;1496;1404;1274;1285;1172;1048;896;725;557;491;364;412;17577
"350055 Águas de Santa Bárbara";414;435;503;455;420;432;407;418;400;366;343;299;257;178;147;111;116;5701
"350060 Águas de São Pedro";128;145;179;188;163;179;179;176;194;200;164;153;162;144;122;94;122;2692
"350070 Agudos";2632;2734;3049;3119;3185;3060;2811;2603;2370;2197;1967;1633;1206;902;713;473;514;35168
"350075 Alambari";397;434;455;421;433;443;377;309;300;273;272;222;178;126;100;68;75;4883
"350080 Alfredo Marcondes";209;258;266;294;317;268;276;280;287;275;247;221;207;188;142;112;120;3967
"350090 Altair";324;312;331;338;353;385;331;284;274;225;169;147;136;103;70;46;53;3881
"350100 Altinópolis";1007;1182;1337;1321;1349;1356;1229;1054;1083;1036;946;857;684;512;401;299;323;15976
"350110 Alto Alegre";248;247;286;309;359;316;276;278;283;299;257;262;227;200;153;106;112;4218
"350115 Alumínio";1387;1553;1559;1473;1532;1569;1496;1358;1238;1014;794;656;492;385;290;148;151;17095
"350120 Álvares Florence";189;222;270;283;271;258;239;290;353;311;293;261;253;196;164;91;90;4034
"350130 Álvares Machado";1612;1924;2029;2067;2042;1813;1773;1782;1771;1579;1364;1139;1001;720;574;376;439;24005
"350140 Álvaro de Carvalho";298;286;324;304;537;702;553;376;270;231;216;169;132;114;77;59;63;4711
"350150 Alvinlândia";249;247;283;256;259;244;256;199;194;179;165;139;119;101;69;53;45;3057
"350160 Americana";13220;13660;14967;16266;18466;19056;17595;16418;16566;15875;13935;10854;8157;5945;4897;3518;3646;213041
"350170 Américo Brasiliense";2816;2839;3101;3099;3422;3384;3138;2744;2561;2041;1648;1288;939;669;457;304;264;34714
"350180 Américo de Campos";345;385;450;419;469;418;414;368;428;434;406;315;294;257;185;114;133;5834
"350190 Amparo";4018;4449;4858;5247;5846;5959;5289;5064;4780;4627;4141;3408;2645;2100;1736;1300;1441;66908
"350200 Analândia";338;333;346;361;371;367;303;308;281;281;251;197;170;144;126;82;69;4328
"350210 Andradina";3556;3741;4169;4306;4641;4577;4527;4267;4162;4025;3519;2950;2525;1983;1556;1043;1124;56671
"350220 Angatuba";1717;1837;1938;1960;1897;1792;1660;1615;1623;1505;1296;1068;838;603;448;327;344;22468
"350230 Anhembi";491;511;516;484;432;443;446;406;386;348;310;255;196;159;125;86;88;5682
"350240 Anhumas";257;301;329;319;327;296;276;265;285;253;212;174;150;116;110;57;71;3798
"350250 Aparecida";2515;2593;2789;3068;3244;3141;2728;2638;2597;2445;2207;1712;1357;974;761;500;585;35854
"350260 Aparecida d'Oeste";244;305;359;341;326;276;317;328;356;319;301;298;226;200;193;105;113;4607
"350270 Apiaí";2044;2502;2771;2488;2078;2035;1907;1860;1649;1534;1324;1087;866;642;518;357;339;26001
"350275 Araçariguama";1639;1593;1638;1542;1621;1518;1401;1269;1094;944;805;577;452;313;224;144;142;16916
"350280 Araçatuba";11640;11809;13245;13668;15155;15645;14935;14235;14223;13554;11868;9825;7615;5878;4760;3255;3504;184814
"350290 Araçoiaba da Serra";1991;2107;2370;2258;2179;2141;2087;2035;1945;1795;1608;1378;1100;809;597;422;411;27233
"350300 Aramina";331;354;405;441;466;436;365;360;387;394;315;257;210;181;154;98;86;5240
"350310 Arandu";437;509;597;593;533;487;506;427;394;399;355;304;228;182;145;85;86;6267
"350315 Arapeí";189;208;227;227;206;179;164;174;198;190;140;113;88;86;67;58;53;2567
"350320 Araraquara";13142;13287;14856;16136;18803;19066;17652;15564;15309;14905;13186;10948;8596;6260;5187;3887;4415;211199
"350330 Araras";7942;8132;9188;9832;10898;10918;9764;8975;8703;8362;7372;5814;4503;3333;2607;1981;1991;120315
"350335 Arco-Íris";122;125;145;167;158;153;138;138;145;130;136;105;97;92;60;42;42;1995
"350340 Arealva";492;559;595;599;600;561;540;506;564;581;519;443;416;328;265;197;209;7974
