"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";1964;2161;2378;2716;2917;2612;2430;2470;2619;2496;2239;1877;1576;1307;1153;832;796;34543
"350020 Adolfo";229;249;264;297;311;275;246;262;286;272;245;204;167;122;102;69;67;3667
"350030 Aguaí";2567;2565;2722;2809;2987;2881;2440;2216;2184;2014;1786;1437;1109;766;685;492;475;32135
"350040 Águas da Prata";474;488;539;592;629;561;514;522;548;574;496;416;338;288;266;217;214;7676
"350050 Águas de Lindóia";1133;1244;1337;1368;1467;1489;1378;1276;1270;1160;1015;866;683;554;480;354;380;17454
"350055 Águas de Santa Bárbara";420;451;486;461;432;427;410;417;395;359;335;292;236;176;146;109;108;5660
"350060 Águas de São Pedro";127;142;174;173;174;181;169;170;191;193;157;149;152;136;116;93;112;2609
"350070 Agudos";2660;2813;3045;3138;3243;3077;2758;2563;2357;2170;1914;1555;1144;873;685;468;481;34944
"350075 Alambari";395;426;433;422;434;435;359;300;289;269;267;209;167;117;100;66;69;4757
"350080 Alfredo Marcondes";212;262;269;296;317;281;278;279;289;268;240;217;201;180;139;109;109;3946
"350090 Altair";325;321;333;338;359;379;323;284;265;216;167;148;132;99;69;43;49;3850
"350100 Altinópolis";1024;1222;1319;1337;1394;1365;1198;1065;1086;1039;935;838;643;501;393;291;304;15954
"350110 Alto Alegre";253;252;292;325;357;316;276;277;295;296;259;255;224;196;145;110;103;4231
"350115 Alumínio";1398;1549;1549;1480;1559;1568;1478;1337;1216;985;777;630;479;371;268;145;138;16927
"350120 Álvares Florence";196;235;268;290;288;263;248;302;349;311;290;263;243;193;155;90;88;4072
"350130 Álvares Machado";1637;1961;2048;2058;2049;1844;1786;1797;1755;1542;1335;1123;941;700;546;371;412;23905
"350140 Álvaro de Carvalho";308;297;326;342;517;670;516;362;271;236;211;165;129;109;77;57;61;4654
"350150 Alvinlândia";252;257;272;255;267;254;243;200;190;178;159;140;115;94;69;51;43;3039
"350160 Americana";13272;13837;15027;16417;18598;18715;17180;16304;16446;15533;13390;10361;7705;5816;4737;3413;3377;210128
"350170 Américo Brasiliense";2793;2885;3065;3108;3378;3355;3034;2704;2462;1985;1583;1224;893;634;436;289;251;34079
"350180 Américo de Campos";353;393;434;429;484;427;403;378;435;429;390;313;292;242;175;120;123;5820
"350190 Amparo";4056;4525;4900;5323;5922;5849;5239;4990;4757;4573;4021;3279;2535;2060;1692;1256;1351;66328
"350200 Analândia";340;326;348;359;376;357;299;295;285;274;238;195;163;139;117;78;66;4255
"350210 Andradina";3628;3841;4198;4382;4731;4653;4494;4262;4191;3947;3429;2902;2441;1929;1499;1027;1064;56618
"350220 Angatuba";1718;1831;1924;1940;1912;1782;1637;1605;1612;1457;1265;1023;794;580;435;323;327;22165
"350230 Anhembi";490;508;491;481;440;446;431;392;376;342;297;248;183;152;123;85;82;5567
"350240 Anhumas";259;306;318;319;335;301;268;273;280;243;204;171;145;114;102;59;66;3763
"350250 Aparecida";2557;2652;2844;3085;3312;3141;2737;2643;2596;2443;2128;1663;1288;950;738;498;546;35821
"350260 Aparecida d'Oeste";254;317;359;343;338;299;325;341;353;319;303;282;224;205;176;103;111;4652
"350270 Apiaí";2099;2639;2712;2482;2230;2089;1940;1844;1661;1509;1291;1062;830;634;500;341;317;26180
"350275 Araçariguama";1601;1556;1589;1507;1572;1483;1337;1210;1061;900;759;549;418;295;211;137;134;16319
"350280 Araçatuba";11779;12130;13205;13842;15485;15663;14740;14164;14158;13285;11502;9449;7287;5762;4577;3163;3284;183475
"350290 Araçoiaba da Serra";1975;2116;2263;2216;2185;2121;2036;1973;1886;1731;1523;1304;1023;762;580;404;377;26475
"350300 Aramina";335;361;406;446;465;431;360;366;389;380;305;248;207;181;147;91;80;5198
"350310 Arandu";446;530;592;589;552;502;499;419;400;397;344;291;220;175;138;82;81;6257
"350315 Arapeí";193;213;226;227;213;180;167;179;203;180;136;110;88;85;69;56;52;2577
"350320 Araraquara";13188;13457;14916;16304;18862;18829;17087;15359;15296;14625;12812;10524;8118;6140;5063;3798;4092;208470
"350330 Araras";7971;8322;9191;9903;10997;10699;9506;8873;8666;8220;7071;5576;4266;3224;2549;1901;1852;118787
"350335 Arco-Íris";126;130;147;170;170;156;138;142;143;135;130;107;96;87;60;41;40;2018
"350340 Arealva";497;566;589;599;606;570;540;509;569;572;503;432;395;321;260;189;193;7910
"350350 Areias";307;363;360;337;309;284;282;267;259;223;199;143;120;105;81;53;73;3765
"350360 Areiópolis";885;1028;1022;1040;1087;943;870;855;728;602;481;369;280;223;165;106;91;10775
"350370 Ariranha";629;614;651;686;773;754;681;652;584;532;488;406;310;231;217;184;148;8540
"350380 Artur Nogueira";3333;3592;3697;3685;4167;4085;3641;3319;3045;2659;2172;1694;1308;958;709;519;468;43051
"350390 Arujá";5888;6773;6830;6612;6811;6679;6093;5512;5261;4640;3985;3017;1974;1311;927;648;630;73591
"350395 Aspásia";102;125;137;147;151;122;123;147;155;142;114;102;90;78;56;34;37;1862
"350400 Assis";6459;6490;7010;7579;8548;8213;7546;7006;7013;6646;5841;4794;3732;2970;2397;1789;1821;95854
"350410 Atibaia";8993;10011;10315;10416;11326;11029;10162;9347;8911;8361;7131;5719;4451;3496;2760;2022;2153;126603
