"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";1885;2088;2258;2715;2803;2532;2429;2411;2598;2578;2326;1997;1684;1348;1182;912;900;34646
"350020 Adolfo";215;253;259;272;292;264;243;255;270;273;270;208;191;129;114;65;73;3646
"350030 Aguaí";2547;2514;2696;2876;2938;3019;2571;2268;2198;2068;1903;1531;1282;799;701;516;529;32956
"350040 Águas da Prata";460;488;517;591;601;555;508;533;526;591;533;449;375;308;273;218;249;7775
"350050 Águas de Lindóia";1108;1193;1355;1336;1374;1492;1428;1278;1297;1183;1079;926;766;565;501;376;443;17700
"350055 Águas de Santa Bárbara";409;420;514;452;408;435;403;421;404;371;351;307;278;182;148;114;125;5742
"350060 Águas de São Pedro";129;149;182;203;152;175;188;183;196;209;170;156;172;153;128;97;133;2775
"350070 Agudos";2600;2668;3026;3130;3117;3029;2861;2654;2380;2224;2015;1714;1267;941;739;482;544;35391
"350075 Alambari";399;439;471;421;433;450;394;319;309;277;279;236;189;137;100;72;82;5007
"350080 Alfredo Marcondes";205;255;260;297;317;254;273;281;284;283;254;225;212;198;144;116;131;3989
"350090 Altair";323;305;326;342;346;388;339;286;281;233;172;147;140;108;71;49;55;3911
"350100 Altinópolis";988;1147;1334;1318;1302;1350;1259;1047;1079;1032;955;876;726;528;407;309;342;15999
"350110 Alto Alegre";242;244;278;301;352;316;275;280;271;302;255;270;229;206;159;104;121;4205
"350115 Alumínio";1376;1561;1554;1479;1502;1570;1511;1386;1258;1040;809;681;506;403;311;152;163;17262
"350120 Álvares Florence";182;210;269;278;255;251;230;278;349;312;297;260;264;201;172;93;94;3995
"350130 Álvares Machado";1587;1895;1987;2095;2031;1775;1758;1775;1786;1614;1389;1156;1060;748;600;383;465;24104
"350140 Álvaro de Carvalho";289;276;319;269;555;731;587;392;269;226;220;172;135;121;78;62;66;4767
"350150 Alvinlândia";245;238;291;257;251;233;269;200;198;182;172;137;123;108;69;55;47;3075
"350160 Americana";13160;13549;14778;16264;18279;19314;17981;16607;16665;16203;14443;11356;8605;6137;5041;3644;3904;215930
"350170 Américo Brasiliense";2834;2804;3108;3116;3457;3409;3234;2796;2653;2095;1710;1354;985;712;477;323;277;35344
"350180 Américo de Campos";337;378;451;414;460;408;425;361;420;439;421;318;296;274;195;110;142;5849
"350190 Amparo";3979;4395;4772;5216;5758;6041;5329;5160;4795;4676;4252;3542;2753;2162;1775;1351;1527;67483
"350200 Analândia";335;341;340;367;364;377;306;321;278;288;263;199;178;149;136;86;73;4401
"350210 Andradina";3479;3657;4102;4266;4541;4490;4552;4290;4125;4098;3600;3001;2610;2060;1609;1065;1179;56724
"350220 Angatuba";1714;1852;1935;1987;1877;1796;1680;1631;1633;1553;1324;1114;884;633;460;334;361;22768
"350230 Anhembi";490;511;536;493;422;438;462;422;395;354;324;263;209;168;126;88;94;5795
"350240 Anhumas";255;297;331;322;321;289;284;257;290;262;220;179;154;119;119;55;78;3832
"350250 Aparecida";2471;2546;2709;3080;3177;3117;2716;2643;2596;2446;2280;1762;1425;1008;782;505;624;35887
"350260 Aparecida d'Oeste";234;294;357;343;313;253;309;318;357;319;299;313;228;197;208;106;114;4562
"350270 Apiaí";1989;2385;2794;2518;1924;1971;1869;1884;1637;1557;1354;1114;903;657;535;373;360;25824
"350275 Araçariguama";1675;1636;1674;1592;1666;1546;1461;1333;1126;987;848;606;486;334;236;152;151;17509
"350280 Araçatuba";11494;11544;13171;13617;14802;15557;15091;14372;14271;13811;12202;10208;7934;6055;4929;3368;3715;186141
"350290 Araçoiaba da Serra";2006;2108;2454;2314;2170;2153;2134;2105;2002;1858;1687;1454;1177;865;614;441;443;27985
"350300 Aramina";329;349;400;441;461;439;369;356;384;408;325;267;213;184;161;105;90;5281
"350310 Arandu";428;490;592;604;513;470;513;437;387;401;366;316;238;190;151;88;93;6277
"350315 Arapeí";185;205;227;224;198;177;161;170;192;201;145;115;87;88;66;61;54;2556
"350320 Araraquara";13085;13177;14667;16114;18700;19218;18189;15840;15304;15171;13524;11379;9069;6449;5295;3998;4726;213905
"350330 Araras";7908;7980;9106;9850;10785;11068;10007;9119;8730;8496;7654;6058;4737;3477;2657;2073;2124;121829
"350335 Arco-Íris";118;120;141;167;147;148;137;133;147;126;143;103;98;97;61;44;43;1973
"350340 Arealva";485;555;596;611;587;550;540;505;558;589;534;452;437;340;269;206;224;8038
"350350 Areias";298;345;367;344;287;267;289;268;262;231;220;155;122;110;87;48;89;3789
"350360 Areiópolis";866;990;996;993;1110;950;835;866;767;642;510;399;295;237;170;116;103;10845
"350370 Ariranha";625;615;659;644;813;780;705;680;611;547;497;440;345;231;217;194;159;8762
"350380 Artur Nogueira";3398;3608;3822;3749;4200;4366;3832;3534;3217;2877;2349;1890;1468;1083;766;558;570;45287
"350390 Arujá";5918;6738;7196;6799;6647;6775;6479;5841;5544;4867;4275;3432;2317;1493;996;712;758;76787
"350395 Aspásia";99;119;130;153;144;113;108;136;166;141;121;109;93;88;56;38;40;1854
"350400 Assis";6318;6262;6881;7482;8559;8181;7882;7104;7017;6817;6205;5185;4033;3163;2485;1911;2049;97534
"350410 Atibaia";8862;9843;10605;10308;10922;10950;10584;9776;9054;8790;7567;6158;4905;3889;2933;2142;2496;129784
"350420 Auriflama";834;942;986;1265;1211;1111;1116;1050;1123;1057;888;742;662;521;427;310;314;14559
"350430 Avaí";374;401;468;510;417;359;370;359;340;334;282;252;200;139;118;74;87;5084
"350440 Avanhandava";866;842;942;989;1378;1200;925;847;797;672;584;435;376;255;201;149;136;11594
"350450 Avaré";6003;6262;6577;6821;7514;7327;7198;6249;5670;5456;4961;4243;3328;2441;1956;1445;1567;85018
"350460 Bady Bassitt";984;1032;1199;1164;1174;1228;1312;1288;1173;1019;920;700;543;428;360;229;217;14970
"350470 Balbinos";94;98;101;121;616;822;672;390;235;168;131;111;63;55;44;38;36;3795
"350480 Bálsamo";499;472;574;601;630;663;664;608;642;651;516;482;372;325;265;191;210;8365
"350490 Bananal";794;800;913;864;786;799;819;727;712;687;598;498;450;324;269;200;240;10480
"350500 Barão de Antonina";248;277;286;252;238;192;236;194;195;220;214;170;139;113;96;57;67;3194
"350510 Barbosa";510;548;630;578;564;483;506;448;481;452;375;315;271;204;168;118;108;6759
"350520 Bariri";2154;2384;2600;2458;2623;2672;2398;2207;2176;2219;2001;1663;1309;1081;897;724;821;32387
"350530 Barra Bonita";2048;2225;2507;2748;2905;3008;3016;2837;2872;2770;2350;1872;1513;1165;942;686;668;36132
"350535 Barra do Chapéu";456;496;597;492;403;414;382;388;327;306;275;220;176;157;126;87;74;5376
"350540 Barra do Turvo";707;788;895;722;538;500;530;490;443;434;410;387;314;293;231;130;111;7923
"350550 Barretos";7533;7749;8313;9084;10010;10049;9277;8362;8015;8037;7020;5824;4705;3720;2981;2016;2223;114918
"350560 Barrinha";2565;2556;2624;2622;2996;2995;2566;2199;1931;1648;1366;982;717;507;379;283;276;29212
"350570 Barueri";19740;20315;22444;21613;23514;23979;21956;19542;18109;15535;12782;9773;6760;4127;2771;1780;2058;246798
"350580 Bastos";1487;1596;1685;1771;1701;1623;1543;1525;1602;1505;1267;1020;823;618;491;337;365;20959
