"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";1838;1992;2184;2439;2699;2663;2506;2419;2519;2592;2441;2123;1778;1415;1176;937;1021;34742
"350020 Adolfo";210;233;246;248;271;278;252;244;261;275;273;232;196;143;111;75;79;3627
"350030 Aguaí";2565;2517;2652;2797;2933;3047;2790;2378;2211;2119;1969;1662;1350;924;686;532;584;33716
"350040 Águas da Prata";449;472;500;539;584;579;537;526;531;573;571;498;412;324;273;223;276;7867
"350050 Águas de Lindóia";1106;1142;1275;1309;1356;1470;1469;1330;1281;1238;1135;992;821;621;501;395;487;17928
"350055 Águas de Santa Bárbara";412;407;462;458;420;432;419;412;413;390;366;329;285;208;151;117;137;5818
"350060 Águas de São Pedro";132;150;174;192;174;179;201;197;197;214;206;176;175;164;139;108;150;2928
"350070 Agudos";2596;2592;2847;2984;3064;3097;2946;2704;2465;2285;2099;1821;1416;1009;761;527;591;35804
"350075 Alambari";420;429;463;440;433;454;435;363;322;296;286;260;211;151;108;77;90;5238
"350080 Alfredo Marcondes";202;231;258;273;297;279;269;278;294;290;273;242;218;199;159;120;147;4029
"350090 Altair";322;306;318;336;346;373;364;304;277;246;193;152;135;111;77;50;58;3968
"350100 Altinópolis";979;1067;1240;1274;1284;1338;1294;1115;1047;1045;985;905;772;576;425;318;377;16041
"350110 Alto Alegre";234;238;259;281;328;332;291;272;268;290;277;261;237;204;165;114;130;4181
"350115 Alumínio";1386;1462;1549;1492;1501;1567;1541;1409;1273;1109;889;718;563;419;323;192;179;17572
"350120 Álvares Florence";175;195;237;252;249;253;242;256;322;327;305;274;255;206;166;108;101;3923
"350130 Álvares Machado";1573;1733;1926;1987;2007;1884;1769;1750;1767;1676;1481;1253;1087;835;622;431;507;24288
"350140 Álvaro de Carvalho";293;276;313;323;467;675;620;442;306;240;223;194;150;122;89;64;74;4871
"350150 Alvinlândia";248;238;266;256;246;242;255;228;200;188;173;149;127;107;77;54;54;3108
"350160 Americana";13167;13436;14559;15799;17834;19559;19005;17319;16694;16436;15156;12502;9534;6837;5191;3884;4385;221297
"350170 Américo Brasiliense";2901;2815;3045;3157;3377;3516;3356;2954;2673;2305;1858;1472;1100;779;532;350;324;36514
"350180 Américo de Campos";333;361;418;408;432;436;426;388;398;437;428;358;302;266;208;128;149;5876
"350190 Amparo";3973;4195;4647;5010;5575;6060;5705;5234;4927;4722;4423;3807;3022;2311;1832;1411;1697;68551
"350200 Analândia";338;337;338;350;363;385;347;315;296;287;273;228;191;159;138;101;90;4536
"350210 Andradina";3412;3511;3874;4077;4377;4548;4532;4352;4156;4094;3776;3190;2691;2143;1655;1152;1282;56822
"350220 Angatuba";1733;1798;1896;1923;1925;1880;1771;1661;1639;1594;1422;1194;953;695;493;351;398;23326
"350230 Anhembi";504;509;523;494;457;452;473;447;409;376;339;294;232;172;131;92;102;6006
"350240 Anhumas";259;280;320;313;314;307;290;268;279;281;237;193;163;126;112;72;82;3896
"350250 Aparecida";2419;2469;2628;2847;3050;3127;2873;2634;2570;2475;2320;1927;1504;1092;802;550;661;35948
"350260 Aparecida d'Oeste";228;263;319;316;301;271;284;309;337;340;309;303;255;198;191;130;125;4479
"350270 Apiaí";1963;2132;2493;2369;2012;1914;1876;1831;1703;1571;1415;1182;956;720;549;400;409;25495
"350275 Araçariguama";1758;1683;1717;1673;1694;1683;1559;1405;1232;1060;917;716;532;379;259;171;172;18610
"350280 Araçatuba";11370;11415;12544;13243;14318;15563;15546;14695;14281;14022;12827;10871;8634;6481;5049;3646;4102;188607
"350290 Araçoiaba da Serra";2093;2120;2357;2350;2273;2271;2249;2194;2125;2019;1844;1595;1295;950;673;470;504;29382
"350300 Aramina";327;342;380;417;447;459;407;363;374;398;358;287;230;187;161;116;105;5358
"350310 Arandu";427;456;535;560;533;485;494;464;403;398;383;336;267;197;155;100;102;6295
"350315 Arapeí";180;191;212;209;198;186;168;164;182;197;163;124;94;83;67;57;61;2536
"350320 Araraquara";13103;13236;14394;15689;17956;19586;19033;16882;15513;15270;14237;12169;9808;7204;5458;4188;5206;218932
"350330 Araras";7939;7947;8765;9532;10523;11268;10645;9489;8873;8618;8018;6659;5170;3823;2822;2139;2413;124643
"350335 Arco-Íris";116;116;127;145;144;145;140;131;139;135;133;117;96;90;67;45;46;1932
"350340 Arealva";483;525;580;590;581;567;555;526;540;586;575;497;440;366;281;214;250;8156
"350350 Areias";303;320;346;330;301;278;282;273;264;244;223;179;130;108;87;55;88;3811
"350360 Areiópolis";865;907;977;967;1044;1008;870;839;797;681;551;431;320;239;177;121;115;10909
"350370 Ariranha";629;618;650;662;763;819;749;689;636;568;513;454;371;261;209;188;188;8967
"350380 Artur Nogueira";3494;3556;3851;3869;4139;4463;4168;3703;3371;3049;2615;2105;1637;1213;859;604;659;47355
"350390 Arujá";6068;6436;7082;6888;6789;6975;6845;6194;5680;5157;4529;3788;2752;1775;1143;775;867;79743
"350395 Aspásia";98;109;125;136;139;125;112;126;151;151;134;116;97;83;62;40;43;1847
"350400 Assis";6266;6255;6725;7217;8149;8491;8116;7399;7014;6907;6450;5534;4390;3345;2586;1966;2278;99088
"350410 Atibaia";8899;9394;10298;10203;10631;11187;10964;10172;9350;8895;8084;6789;5436;4175;3169;2295;2786;132727
"350420 Auriflama";820;896;968;1123;1212;1173;1139;1079;1085;1082;959;803;687;554;439;328;355;14702
"350430 Avaí";378;392;441;473;449;391;373;364;344;334;304;263;215;150;114;80;91;5156
"350440 Avanhandava";875;842;933;1019;1279;1360;1073;885;811;717;616;485;386;277;202;150;150;12060
"350450 Avaré";6002;6074;6459;6625;7220;7488;7277;6559;5842;5531;5160;4500;3622;2665;2020;1514;1738;86296
"350460 Bady Bassitt";1012;1018;1157;1196;1213;1262;1319;1316;1236;1095;972;799;608;459;370;260;252;15544
