"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";1821;1960;2125;2318;2621;2713;2538;2433;2479;2605;2490;2186;1824;1463;1175;956;1082;34789
"350020 Adolfo";207;225;237;238;260;283;256;240;256;276;273;245;198;152;110;80;82;3618
"350030 Aguaí";2583;2538;2603;2780;2918;3043;2893;2442;2218;2141;1997;1728;1382;995;679;543;611;34094
"350040 Águas da Prata";446;468;487;517;566;589;550;526;533;563;589;522;431;335;274;227;290;7913
"350050 Águas de Lindóia";1109;1126;1223;1305;1342;1442;1490;1362;1273;1264;1161;1025;848;655;501;406;509;18041
"350055 Águas de Santa Bárbara";415;404;433;464;424;428;426;409;417;399;372;341;288;223;151;118;143;5855
"350060 Águas de São Pedro";134;152;170;188;184;181;208;204;199;214;219;187;176;172;144;114;159;3005
"350070 Agudos";2602;2573;2727;2928;3025;3120;2982;2740;2509;2312;2135;1875;1490;1053;773;552;614;36010
"350075 Alambari";431;428;454;452;431;456;454;386;329;306;290;272;220;159;112;80;93;5353
"350080 Alfredo Marcondes";200;220;256;262;290;290;266;277;293;294;281;251;220;202;167;124;156;4049
"350090 Altair";323;309;311;335;345;363;370;314;274;253;202;155;134;114;81;52;61;3996
"350100 Altinópolis";979;1034;1181;1262;1271;1319;1310;1154;1031;1049;997;919;794;606;435;326;395;16062
"350110 Alto Alegre";231;238;248;274;308;338;298;270;266;283;287;258;241;206;169;119;135;4169
"350115 Alumínio";1396;1425;1531;1510;1494;1558;1551;1425;1280;1142;927;737;591;431;329;212;187;17726
"350120 Álvares Florence";173;188;218;242;246;253;247;247;302;339;308;280;251;211;163;115;105;3888
"350130 Álvares Machado";1572;1666;1876;1947;1987;1929;1771;1743;1757;1705;1524;1300;1099;886;634;456;527;24379
"350140 Álvaro de Carvalho";296;277;306;353;420;639;644;469;324;247;223;205;157;124;95;65;79;4923
"350150 Alvinlândia";250;239;251;262;242;244;248;242;201;192;172;155;127;107;81;55;57;3125
"350160 Americana";13216;13476;14299;15682;17544;19568;19493;17740;16710;16533;15466;13073;9993;7252;5270;4027;4628;223970
"350170 Américo Brasiliense";2944;2842;2982;3200;3332;3551;3403;3044;2683;2409;1927;1531;1156;820;560;366;347;37097
"350180 Américo de Campos";332;355;398;410;416;447;425;403;387;431;431;379;304;265;216;138;153;5890
"350190 Amparo";3984;4127;4538;4944;5463;6030;5881;5292;4993;4740;4496;3938;3154;2409;1863;1449;1783;69084
"350200 Analândia";341;337;333;344;362;387;366;313;305;286;277;242;198;166;139;109;98;4603
"350210 Andradina";3392;3464;3719;4013;4276;4551;4513;4397;4171;4086;3852;3286;2732;2205;1679;1202;1333;56871
"350220 Angatuba";1748;1784;1858;1904;1946;1912;1812;1682;1641;1612;1466;1234;986;732;509;361;417;23604
"350230 Anhembi";513;510;511;500;472;457;477;462;416;387;347;308;243;175;133;95;105;6111
"350240 Anhumas";262;274;308;311;310;314;293;274;274;290;245;201;168;131;109;81;83;3928
"350250 Aparecida";2402;2448;2559;2751;2976;3116;2945;2641;2558;2486;2333;2010;1542;1146;811;576;679;35979
"350260 Aparecida d'Oeste";226;250;297;305;295;278;271;305;331;345;312;298;268;201;182;144;130;4438
"350270 Apiaí";1958;2024;2306;2313;2050;1877;1877;1812;1737;1576;1441;1215;982;758;556;416;433;25331
"350275 Araçariguama";1806;1718;1717;1725;1701;1744;1604;1446;1286;1096;948;771;555;405;272;181;183;19158
"350280 Araçatuba";11349;11434;12101;13152;14024;15475;15736;14913;14290;14111;13100;11201;8977;6756;5113;3806;4297;189835
"350290 Araçoiaba da Serra";2142;2142;2279;2385;2324;2317;2301;2246;2186;2096;1917;1665;1353;1001;703;487;534;30078
"350300 Aramina";327;341;367;407;440;460;426;369;369;393;375;297;237;192;161;122;113;5396
"350310 Arandu";427;441;501;544;537;491;484;479;411;397;391;345;281;204;157;107;107;6304
"350315 Arapeí";179;186;199;203;197;189;171;163;178;194;171;128;99;80;69;56;65;2527
"350320 Araraquara";13159;13365;14110;15592;17518;19673;19397;17466;15620;15302;14552;12563;10171;7649;5543;4307;5448;221435
"350330 Araras";7983;7989;8505;9442;10354;11305;10941;9711;8947;8669;8175;6959;5382;4031;2907;2185;2559;126044
"350335 Arco-Íris";114;115;118;134;143;142;143;131;135;139;129;124;96;86;69;45;48;1911
"350340 Arealva";484;515;566;578;576;572;561;540;530;586;594;520;441;382;288;219;263;8215
"350350 Areias";307;307;332;326;306;283;277;276;264;250;225;191;136;107;87;60;88;3822
"350360 Areiópolis";867;874;957;961;1011;1031;885;829;811;700;570;447;331;242;181;124;121;10942
"350370 Ariranha";634;625;640;676;735;834;768;697;648;578;519;461;384;279;205;185;202;9070
"350380 Artur Nogueira";3555;3557;3827;3958;4092;4482;4327;3802;3450;3132;2739;2211;1721;1289;907;631;705;48385
"350390 Arujá";6163;6332;6951;6996;6833;7035;7011;6392;5748;5297;4644;3965;2968;1933;1216;810;922;81216
"350395 Aspásia";97;106;121;129;136;130;115;122;145;155;140;119;99;82;64;40;43;1843
"350400 Assis";6262;6297;6578;7136;7901;8609;8214;7573;7014;6945;6554;5709;4566;3468;2638;2005;2393;99862
"350410 Atibaia";8946;9239;10037;10224;10444;11242;11138;10408;9496;8934;8318;7103;5698;4359;3289;2386;2931;134192
"350420 Auriflama";817;880;949;1060;1207;1195;1148;1098;1066;1093;992;833;699;575;445;340;376;14773
"350430 Avaí";380;391;420;457;466;405;373;368;347;334;315;268;221;157;113;84;93;5192
"350440 Avanhandava";883;849;919;1041;1225;1433;1143;908;818;740;629;509;390;292;203;152;158;12292
"350450 Avaré";6024;6026;6334;6576;7033;7525;7308;6740;5930;5562;5243;4628;3766;2802;2053;1557;1826;86933
"350460 Bady Bassitt";1029;1019;1124;1219;1227;1272;1319;1335;1269;1132;995;849;640;479;374;278;270;15830
"350470 Balbinos";77;76;93;131;365;1097;1067;617;311;177;126;102;69;45;37;30;34;4454
"350480 Bálsamo";498;495;512;579;618;673;681;653;626;654;605;502;432;338;279;212;247;8604
"350490 Bananal";799;791;814;847;805;797;811;772;711;701;647;545;462;376;276;214;270;10638
"350500 Barão de Antonina";256;265;269;246;237;230;219;226;196;208;222;200;156;119;95;69;75;3288
"350510 Barbosa";518;518;567;587;562;544;503;495;472;477;430;354;285;229;173;132;132;6978
"350520 Bariri";2192;2260;2488;2541;2554;2736;2639;2350;2195;2200;2141;1849;1474;1146;921;737;941;33364
"350530 Barra Bonita";1992;2065;2270;2497;2714;2937;3000;2909;2794;2783;2559;2107;1672;1295;983;746;807;36130
"350535 Barra do Chapéu";477;462;496;493;427;415;419;388;361;323;299;255;199;158;132;98;92;5494
"350540 Barra do Turvo";712;698;727;682;573;513;513;510;467;439;428;400;350;282;238;164;137;7833
"350550 Barretos";7507;7605;7914;8492;9431;10322;9959;8922;8176;8021;7575;6407;5169;3994;3076;2256;2531;117357
"350560 Barrinha";2644;2524;2609;2675;2808;3057;2857;2369;2030;1779;1486;1162;821;583;408;296;327;30435
"350570 Barueri";20089;19673;21227;22339;22482;24039;23339;20756;18551;16712;14099;11253;8247;5450;3313;2135;2396;256100
"350580 Bastos";1446;1470;1555;1610;1641;1641;1573;1510;1529;1546;1401;1150;895;685;510;374;421;20957
"350590 Batatais";3754;3869;4215;4562;4839;5000;4927;4380;3941;3955;3765;3384;2721;2032;1519;1181;1418;59462
"350600 Bauru";22985;23447;25345;26700;28370;31314;31169;28073;25396;24421;22884;19733;15713;11772;8816;6706;7968;360812
"350610 Bebedouro";4811;4908;5368;5772;6086;6436;6275;5814;5480;5204;4898;4356;3543;2749;2033;1516;1867;77116
"350620 Bento de Abreu";204;201;210;222;224;237;244;219;212;191;158;133;108;83;68;55;53;2822
"350630 Bernardino de Campos";716;732;773;847;867;819;765;756;737;747;716;612;534;442;365;286;367;11081
"350635 Bertioga";4900;4678;4891;4768;4426;4689;4609;4311;3786;3283;2733;2208;1666;1136;734;458;460;53736
"350640 Bilac";367;410;489;544;569;612;602;572;567;538;498;455;375;291;227;176;208;7500
"350650 Birigui";7298;7350;7690;8356;8949;9685;9856;9421;9011;8462;7455;6305;5024;3790;2788;1945;2212;115597
"350660 Biritiba-Mirim";2443;2417;2595;2601;2518;2532;2375;2191;2071;1922;1678;1361;1192;938;668;479;435;30416
"350670 Boa Esperança do Sul";1128;1095;1168;1239;1221;1225;1187;1061;959;933;822;682;541;381;267;181;216;14306
"350680 Bocaina";772;805;881;905;936;994;1010;907;799;770;688;563;470;334;249;209;247;11539
"350690 Bofete";792;787;839;828;776;741;741;721;681;679;653;615;532;414;312;200;184;10495
"350700 Boituva";3982;3929;4101;4275;4590;5093;4905;4287;3769;3413;2958;2460;1939;1389;972;679;683;53424
"350710 Bom Jesus dos Perdões";1672;1679;1813;1836;1826;1936;1912;1706;1564;1428;1279;1002;736;592;410;277;317;21985
"350715 Bom Sucesso de Itararé";364;346;376;386;336;286;284;273;249;216;176;143;111;79;58;36;41;3760
"350720 Borá";56;52;52;70;76;76;84;66;58;53;53;46;30;19;15;11;12;829
"350730 Boracéia";354;346;344;378;386;385;353;316;299;274;252;215;187;155;108;79;96;4527
"350740 Borborema";938;995;1080;1074;1169;1295;1245;1139;1052;1059;1027;871;706;531;414;325;365;15285
"350745 Borebi";199;195;204;216;208;187;176;179;166;169;141;120;99;61;48;38;47;2453
"350750 Botucatu";9203;9261;9783;10181;10686;11686;11623;10484;9275;8774;8297;7305;5927;4451;3279;2519;3218;135952
"350760 Bragança Paulista";9963;10167;11237;12153;12566;13427;13497;12524;11105;10354;9739;8454;6782;5130;3645;2688;3195;156626
"350770 Braúna";361;363;374;396;414;459;431;372;348;328;308;290;233;191;174;136;152;5330
"350775 Brejo Alegre";168;183;215;216;212;221;239;233;190;168;153;144;114;92;71;39;57;2715
"350780 Brodowski";1512;1578;1782;1890;1915;1916;1818;1658;1577;1549;1387;1144;927;695;536;401;474;22759
"350790 Brotas";1650;1637;1741;1849;1873;1912;1876;1719;1565;1467;1355;1157;915;726;551;414;490;22897
"350800 Buri";1775;1763;1803;1708;1576;1507;1453;1372;1232;1107;1020;857;680;516;389;280;280;19318
"350810 Buritama";1090;1058;1041;1152;1249;1311;1285;1222;1204;1154;1092;929;764;621;450;319;319;16260
"350820 Buritizal";281;275;282;303;332;362;357;317;286;277;268;242;208;163;120;89;104;4266
"350830 Cabrália Paulista";322;334;352;371;371;345;342;316;313;283;253;226;179;141;102;75;78;4403
"350840 Cabreúva";3824;3712;3924;4025;4015;4136;3931;3493;3167;2807;2296;1765;1359;1009;654;435;495;45047
"350850 Caçapava";6360;6332;6598;6898;7098;7641;7691;7010;6350;5912;5460;4688;3719;2815;1944;1336;1537;89389
"350860 Cachoeira Paulista";2233;2244;2319;2383;2476;2652;2666;2399;2126;2080;2017;1737;1377;1044;737;530;670;31690
"350870 Caconde";1306;1364;1555;1559;1457;1371;1308;1245;1209;1269;1210;1034;883;707;523;400;437;18837
"350880 Cafelândia";1137;1134;1197;1308;1352;1394;1387;1286;1178;1121;1063;970;808;614;489;389;449;17276
"350890 Caiabu";257;263;292;325;346;333;280;271;306;322;280;224;185;152;132;100;112;4180
"350900 Caieiras";7183;7100;7557;7886;7905;8248;8008;7451;6977;6517;5547;4305;3171;2124;1306;848;907;93040
"350910 Caiuá";323;356;411;406;401;409;366;369;420;426;395;298;256;192;156;117;106;5407
"350920 Cajamar";5831;5636;5925;6203;6362;6716;6391;5693;4926;4271;3572;2745;1927;1299;879;563;549;69488
"350925 Cajati";2572;2512;2662;2600;2339;2230;2255;2147;1871;1678;1484;1252;1007;778;615;443;458;28903
"350930 Cajobi";589;644;707;757;880;937;841;704;683;697;657;547;462;365;283;218;222;10193
"350940 Cajuru";1818;1823;1950;2073;2116;2081;1942;1772;1652;1576;1436;1206;952;756;573;447;536;24709
"350945 Campina do Monte Alegre";440;450;487;477;454;462;443;404;386;387;351;288;251;182;133;103;117;5815
"350950 Campinas";71512;71605;76985;84049;91537;103746;103624;92223;82196;77302;70957;61775;48876;36313;26303;19369;22953;1141325
"350960 Campo Limpo Paulista";6020;5916;6120;6434;6678;7026;6830;6134;5600;5149;4696;4017;3057;2027;1341;909;941;78895
"350970 Campos do Jordão";3762;3762;4139;4347;4247;4217;4175;3984;3720;3415;2954;2356;1732;1214;820;590;609;50043
"350980 Campos Novos Paulista";367;374;389;378;353;354;363;330;307;316;281;227;214;177;134;89;106;4759
"350990 Cananéia";1015;1000;1092;1089;960;891;928;920;790;735;719;645;536;416;315;233;251;12535
"350995 Canas";446;429;417;405;402;413;375;321;301;302;260;198;152;104;78;54;57;4714
"351000 Cândido Mota";2071;2054;2153;2326;2474;2526;2286;2169;2148;2185;2040;1754;1411;1082;824;642;709;30854
"351010 Cândido Rodrigues";135;154;170;171;214;237;189;179;184;207;205;162;139;136;100;81;92;2755
"351015 Canitar";420;444;476;418;376;395;398;355;300;257;237;192;160;113;82;61;45;4729
"351020 Capão Bonito";3642;3733;4087;4069;3889;3758;3690;3515;3194;2918;2628;2262;1872;1461;1062;737;753;47270
"351030 Capela do Alto";1425;1466;1632;1644;1643;1646;1535;1434;1294;1185;1046;873;706;534;363;248;227;18901
"351040 Capivari";3877;3872;4030;4177;4420;4622;4440;4047;3663;3408;2943;2455;1870;1357;996;737;911;51825
"351050 Caraguatatuba";8476;8272;8698;8829;8690;8962;9058;8614;7733;6998;6211;5566;4582;3362;2340;1555;1596;109542
"351060 Carapicuíba";30729;30285;32073;32439;32646;35707;35436;31536;27651;24084;20564;17545;13698;9253;5783;3548;3386;386363
"351070 Cardoso";788;789;787;826;887;933;901;830;811;858;852;770;641;519;412;274;300;12178
"351080 Casa Branca";1828;1862;2037;2204;2353;2639;2643;2239;1985;1964;1808;1597;1308;980;739;544;751;29481
"351090 Cássia dos Coqueiros";157;175;195;207;204;187;186;170;179;186;183;158;133;95;82;66;77;2640
