"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";1663;1806;1818;1791;1878;2382;2789;2687;2525;2440;2579;2590;2298;1864;1457;1053;1533;35153
"350020 Adolfo";184;199;182;177;185;225;278;257;233;250;274;276;268;194;149;93;121;3545
"350030 Aguaí";2655;2692;2595;2521;2732;2940;3055;3075;2658;2290;2172;2018;1794;1356;1012;601;815;36981
"350040 Águas da Prata";426;440;430;409;423;518;607;597;545;555;573;654;616;475;350;251;393;8262
"350050 Águas de Lindóia";1071;1109;1034;1040;1241;1326;1386;1492;1443;1318;1338;1249;1098;898;696;471;698;18908
"350055 Águas de Santa Bárbara";412;413;356;332;439;443;420;433;419;438;436;405;358;282;226;141;189;6142
"350060 Águas de São Pedro";141;165;165;150;172;230;232;250;244;229;264;299;253;201;192;157;244;3588
"350070 Agudos";2544;2585;2391;2274;2588;2911;3095;3009;2822;2633;2395;2199;1950;1548;1069;702;867;37582
"350075 Alambari";504;489;425;425;472;450;482;528;481;378;343;316;301;234;166;107;130;6231
"350080 Alfredo Marcondes";186;193;195;218;214;250;313;275;284;315;323;321;283;233;203;168;227;4201
"350090 Altair";318;319;308;301;331;339;341;374;331;268;254;214;151;114;99;72;77;4211
"350100 Altinópolis";936;969;906;945;1131;1216;1254;1284;1209;1025;1035;1022;929;796;617;410;537;16221
"350110 Alto Alegre";209;219;216;205;230;267;334;308;260;261;275;295;243;228;189;150;189;4078
"350115 Alumínio";1408;1408;1303;1424;1548;1522;1517;1508;1395;1267;1175;992;780;611;428;297;320;18903
"350120 Álvares Florence";145;161;152;142;179;228;256;256;229;261;337;318;281;212;179;127;153;3616
"350130 Álvares Machado";1508;1530;1443;1571;1702;1883;1975;1788;1722;1723;1751;1648;1417;1114;919;614;770;25078
"350140 Álvaro de Carvalho";301;295;300;378;515;375;486;571;493;368;272;237;229;172;122;95;111;5320
"350150 Alvinlândia";247;255;229;196;230;236;246;239;267;218;189;169;162;122;94;72;80;3251
"350160 Americana";13360;13918;13898;14205;15998;17913;20111;21043;19462;17297;16600;15899;14066;10920;7841;5085;6754;244370
"350170 Américo Brasiliense";3101;3146;2998;2990;3367;3392;3615;3520;3200;2751;2573;2076;1617;1228;854;555;562;41545
"350180 Américo de Campos";311;337;324;315;370;394;469;445;445;387;410;432;416;299;233;190;216;5993
"350190 Amparo";3962;4072;3950;4218;4780;5332;5967;6274;5624;5188;4806;4601;4166;3406;2530;1774;2495;73145
"350200 Analândia";359;356;324;309;320;367;402;409;333;327;290;292;292;229;183;138;185;5115
"350210 Andradina";3145;3271;3155;3152;3627;4022;4414;4425;4463;4236;4009;3870;3371;2644;2082;1494;1865;57245
"350220 Angatuba";1818;1848;1704;1672;1819;2033;2064;1964;1801;1687;1649;1553;1291;1007;746;488;580;25724
"350230 Anhembi";562;562;492;450;505;547;520;511;504;455;416;381;345;246;162;114;139;6911
"350240 Anhumas";264;278;259;256;277;302;341;313;300;278;299;264;222;171;130;91;127;4172
"350250 Aparecida";2251;2333;2301;2246;2331;2654;2958;3004;2657;2478;2420;2270;2041;1522;1117;725;903;36211
"350260 Aparecida d'Oeste";188;209;192;190;223;254;274;241;280;309;355;318;280;266;193;141;209;4122
"350270 Apiaí";1760;1755;1468;1434;1745;1923;1712;1729;1711;1731;1547;1411;1217;995;776;519;648;24081
"350275 Araçariguama";2093;2047;1895;1844;1947;1917;1971;1789;1621;1454;1218;1058;889;610;430;271;289;23343
"350280 Araçatuba";10924;11415;11220;10934;12547;13752;15392;16289;15719;14658;14164;13375;11623;9360;6913;4734;6191;199210
"350290 Araçoiaba da Serra";2384;2466;2229;2081;2450;2630;2653;2643;2616;2618;2523;2251;1881;1438;1044;691;791;35389
"350300 Aramina";319;340;334;325;366;422;477;483;407;366;377;392;317;247;189;143;185;5689
"350310 Arandu";412;419;369;352;433;521;493;460;493;450;405;401;368;292;201;139;165;6373
"350315 Arapeí";163;168;151;143;162;187;192;177;161;164;174;176;135;96;67;56;80;2452
"350320 Araraquara";13339;14006;14099;14098;15752;17395;20018;20637;19228;16533;15444;14970;13182;10764;8201;5375;7501;240542
"350330 Araras";8081;8356;8154;8025;9237;10397;11512;11691;10545;9390;8826;8416;7453;5809;4285;2863;3699;136739
"350335 Arco-Íris";98;107;95;78;91;123;128;134;129;126;138;118;122;85;66;56;61;1755
"350340 Arealva";476;498;480;489;518;552;593;602;585;548;609;658;577;448;385;277;370;8665
"350350 Areias";303;303;254;247;281;314;295;266;280;274;260;227;200;136;94;72;100;3906
"350360 Areiópolis";852;824;756;833;889;899;996;906;810;807;717;590;449;319;217;152;170;11186
"350370 Ariranha";647;665;646;656;740;732;850;829;732;666;589;514;451;385;290;181;278;9851
"350380 Artur Nogueira";3873;3894;3753;3968;4375;4333;4649;4789;4237;3762;3458;3127;2538;1961;1447;966;1117;56247
"350390 Arujá";6668;6671;6143;6414;7195;7422;7626;7654;7027;6079;5578;4999;4385;3483;2315;1348;1446;92453
"350395 Aspásia";88;95;93;94;96;121;142;130;113;130;169;158;123;91;65;51;56;1815
"350400 Assis";6112;6395;6445;6323;6866;7534;8711;8554;8043;7241;6971;6640;5906;4765;3511;2456;3295;105768
"350410 Atibaia";9031;9222;8693;8893;9864;10383;11481;11756;11178;10001;9124;8982;8104;6368;4691;3314;4293;145378
"350420 Auriflama";772;828;821;835;876;1156;1279;1209;1140;1048;1099;1078;913;715;579;416;552;15316
"350430 Avaí";388;407;374;341;390;486;459;395;374;350;337;330;272;206;146;92;120;5467
"350440 Avanhandava";886;896;923;1034;1253;1290;1599;1397;1014;836;766;643;524;360;266;169;207;14063
"350450 Avaré";6005;6075;5813;5861;6300;6671;7344;7257;7056;6266;5666;5353;4796;3928;2914;1933;2554;91792
"350460 Bady Bassitt";1095;1115;1059;1093;1333;1385;1372;1376;1433;1384;1253;1098;977;725;510;355;450;18013
"350470 Balbinos";39;41;55;119;260;422;1792;1730;896;352;151;94;64;44;24;18;26;6127
"350480 Bálsamo";490;521;512;463;560;637;683;705;700;648;662;662;540;460;345;260;361;9209
"350490 Bananal";784;794;728;672;771;814;791;787;797;732;701;656;563;454;380;256;359;11039
"350500 Barão de Antonina";266;273;236;209;221;246;270;230;250;215;206;223;218;160;113;82;107;3525
"350510 Barbosa";522;524;482;476;559;570;587;539;554;497;501;475;370;284;229;160;203;7532
"350520 Bariri";2263;2308;2214;2324;2621;2631;2804;2853;2560;2272;2188;2176;1928;1528;1128;825;1221;35844
"350530 Barra Bonita";1806;1909;1860;1896;2157;2471;2747;2902;2917;2723;2697;2604;2246;1748;1321;919;1202;36125
"350535 Barra do Chapéu";497;486;380;335;420;447;439;446;399;388;347;319;278;207;149;114;143;5794
"350540 Barra do Turvo";671;644;488;420;509;554;516;491;516;489;453;435;400;339;250;199;232;7606
"350550 Barretos";7425;7684;7440;7302;8025;9158;10405;10486;9605;8531;7943;7654;6616;5169;3851;2727;3525;123546
"350560 Barrinha";2798;2717;2570;2624;2785;2755;3012;2944;2487;2082;1789;1498;1200;856;589;377;454;33537
"350570 Barueri";20545;20424;19504;20214;22808;22243;23376;23703;21570;18697;16903;14628;12048;9320;6377;3621;3723;279704
"350580 Bastos";1325;1354;1274;1260;1344;1489;1564;1545;1499;1466;1534;1470;1197;901;675;463;592;20952
"350590 Batatais";3815;3896;3777;3935;4349;4819;5101;5203;4846;4055;3889;3767;3519;2897;2145;1439;1986;63438
