"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";1805;1929;2069;2189;2563;2756;2562;2446;2447;2608;2537;2245;1871;1512;1182;972;1144;34837
"350020 Adolfo";206;217;228;226;249;288;258;236;252;276;274;256;202;160;109;86;85;3608
"350030 Aguaí";2603;2561;2559;2752;2913;3031;2986;2505;2232;2164;2022;1790;1415;1068;677;554;640;34472
"350040 Águas da Prata";442;464;474;493;554;597;562;524;538;553;606;545;449;346;276;231;304;7958
"350050 Águas de Lindóia";1113;1112;1172;1297;1332;1415;1500;1394;1269;1289;1184;1056;876;691;506;417;532;18155
"350055 Águas de Santa Bárbara";419;401;403;466;431;422;431;406;424;408;378;351;292;238;154;120;149;5893
"350060 Águas de São Pedro";136;154;164;183;194;181;213;211;200;219;235;196;178;179;150;119;169;3081
"350070 Agudos";2611;2558;2614;2865;2996;3125;3008;2775;2559;2339;2168;1925;1565;1099;791;578;640;36216
"350075 Alambari";443;426;448;463;430;455;472;410;336;315;291;284;231;168;116;82;98;5468
"350080 Alfredo Marcondes";199;210;253;252;275;302;262;277;297;297;290;260;223;205;176;126;165;4069
"350090 Altair";324;312;304;334;345;354;378;325;273;260;211;157;131;117;84;53;62;4024
"350100 Altinópolis";978;1003;1125;1244;1262;1301;1319;1193;1018;1054;1008;932;817;636;448;332;413;16083
"350110 Alto Alegre";228;236;237;264;294;345;303;267;265;277;296;252;247;208;174;124;140;4157
"350115 Alumínio";1407;1388;1511;1523;1492;1542;1560;1442;1291;1174;963;755;621;444;338;233;196;17880
"350120 Álvares Florence";170;183;200;230;244;252;252;237;287;343;311;287;246;216;162;123;109;3852
"350130 Álvares Machado";1572;1601;1830;1887;1973;1977;1767;1737;1753;1732;1564;1346;1113;939;650;481;549;24471
"350140 Álvaro de Carvalho";299;280;300;381;375;608;661;496;343;253;224;216;165;125;101;66;82;4975
"350150 Alvinlândia";253;242;236;257;240;247;240;257;203;195;173;160;129;108;86;55;60;3141
"350160 Americana";13277;13538;14070;15517;17313;19521;19904;18163;16774;16618;15759;13623;10458;7679;5388;4166;4876;226644
"350170 Américo Brasiliense";2991;2872;2926;3235;3292;3574;3444;3135;2700;2510;1994;1587;1214;862;592;381;371;37680
"350180 Américo de Campos";331;349;378;409;402;456;424;419;377;426;433;399;307;265;224;147;157;5903
"350190 Amparo";3999;4063;4436;4863;5369;5982;6040;5349;5074;4754;4563;4063;3289;2509;1907;1485;1871;69616
"350200 Analândia";345;339;330;337;360;384;384;311;315;285;281;256;204;174;142;116;107;4670
"350210 Andradina";3372;3419;3572;3935;4190;4540;4482;4444;4198;4074;3922;3373;2773;2270;1717;1251;1388;56920
"350220 Angatuba";1764;1773;1824;1880;1961;1938;1848;1704;1649;1630;1510;1272;1021;771;530;371;436;23882
"350230 Anhembi";523;511;500;504;489;460;480;476;424;397;353;323;254;178;137;97;110;6216
"350240 Anhumas";266;268;299;307;304;321;295;281;269;300;254;208;172;136;106;89;85;3960
"350250 Aparecida";2387;2431;2497;2647;2912;3085;3013;2646;2552;2496;2344;2089;1581;1200;828;602;699;36009
"350260 Aparecida d'Oeste";224;237;276;293;288;284;256;301;324;353;316;292;281;203;175;157;136;4396
"350270 Apiaí";1954;1916;2132;2248;2092;1833;1869;1794;1775;1581;1465;1246;1009;797;567;431;459;25168
"350275 Araçariguama";1855;1759;1723;1773;1714;1795;1645;1487;1342;1132;978;824;579;432;285;191;193;19707
"350280 Araçatuba";11335;11470;11684;13020;13775;15344;15870;15128;14337;14189;13357;11511;9327;7041;5217;3962;4497;191064
"350290 Araçoiaba da Serra";2195;2168;2210;2410;2367;2355;2346;2300;2253;2174;1988;1733;1413;1054;738;504;566;30774
"350300 Aramina";327;341;355;397;432;463;443;375;366;387;390;306;246;195;163;128;121;5435
"350310 Arandu";429;428;468;522;549;495;471;494;420;394;398;355;295;209;160;114;112;6313
"350315 Arapeí";179;180;189;195;198;191;174;161;173;192;180;133;102;78;70;54;68;2517
"350320 Araraquara";13225;13511;13855;15447;17139;19688;19712;18049;15771;15323;14848;12935;10541;8107;5671;4422;5696;223940
"350330 Araras";8033;8044;8262;9323;10217;11312;11200;9932;9045;8714;8323;7247;5598;4247;3014;2227;2708;127446
"350335 Arco-Íris";114;114;110;124;142;139;141;131;132;143;123;131;95;84;73;45;50;1891
"350340 Arealva";486;504;553;569;573;576;565;552;523;582;611;541;443;398;296;225;277;8274
"350350 Areias";311;295;319;322;313;285;272;279;266;257;225;202;140;107;89;64;87;3833
"350360 Areiópolis";871;840;939;952;976;1052;898;818;828;719;589;462;343;246;186;127;128;10974
"350370 Ariranha";639;633;631;688;710;846;785;704;663;587;524;467;397;296;203;182;217;9172
"350380 Artur Nogueira";3618;3563;3809;4036;4059;4504;4462;3900;3537;3213;2860;2315;1805;1367;961;656;751;49416
"350390 Arujá";6265;6238;6837;7076;6899;7074;7156;6592;5832;5432;4752;4136;3186;2093;1299;845;977;82689
"350395 Aspásia";97;102;117;122;134;134;116;117;138;159;146;122;101;80;68;41;45;1839
"350400 Assis";6264;6348;6445;7034;7688;8686;8286;7749;7034;6977;6648;5873;4745;3596;2711;2041;2511;100636
"350410 Atibaia";9003;9097;9797;10213;10290;11262;11267;10643;9672;8968;8541;7405;5964;4550;3433;2474;3080;135659
"350420 Auriflama";813;865;932;993;1207;1210;1154;1117;1051;1103;1023;863;712;598;455;351;397;14844
"350430 Avaí";384;391;401;441;479;418;373;373;351;333;324;273;228;164;112;87;96;5228
"350440 Avanhandava";892;855;907;1060;1185;1502;1209;929;827;761;642;533;394;305;204;153;166;12524
"350450 Avaré";6049;5987;6223;6507;6878;7540;7305;6920;6033;5589;5320;4748;3914;2943;2102;1598;1914;87570
"350460 Bady Bassitt";1047;1021;1093;1240;1245;1278;1313;1355;1303;1169;1017;897;672;500;382;295;289;16116
"350470 Balbinos";71;70;90;133;282;1180;1200;694;337;180;125;100;72;42;36;28;33;4673
"350480 Bálsamo";498;505;489;573;615;671;686;665;622;654;633;507;453;346;286;220;260;8683
"350490 Bananal";803;784;778;847;811;792;805;789;713;705;661;560;465;396;281;219;281;10690
"350500 Barão de Antonina";260;259;262;244;237;242;213;238;199;203;223;209;162;122;96;73;77;3319
"350510 Barbosa";521;510;544;592;559;562;500;513;470;484;447;366;290;239;176;136;141;7050
"350520 Bariri";2211;2233;2437;2573;2527;2739;2711;2404;2207;2190;2181;1908;1529;1178;936;743;982;33689
"350530 Barra Bonita";1980;2025;2181;2417;2652;2893;2979;2939;2777;2783;2620;2182;1726;1348;1005;767;855;36129
"350535 Barra do Chapéu";487;453;457;495;436;412;429;389;374;328;307;266;206;160;135;101;99;5534
"350540 Barra do Turvo";717;671;668;670;585;512;504;517;477;440;433;404;362;280;243;175;146;7804
"350550 Barretos";7521;7606;7743;8310;9245;10338;10140;9130;8253;8003;7736;6590;5324;4116;3133;2342;2638;118168
"350560 Barrinha";2678;2529;2592;2697;2747;3064;2938;2432;2068;1819;1521;1220;857;613;421;302;344;30842
"350570 Barueri";20272;19589;20722;22626;22157;23893;23694;21214;18755;17083;14494;11727;8746;5933;3519;2259;2512;259195
"350580 Bastos";1438;1437;1504;1559;1628;1629;1576;1508;1509;1557;1441;1192;919;713;520;387;439;20956
"350590 Batatais";3775;3829;4131;4482;4831;4994;4999;4547;3929;3969;3788;3487;2836;2135;1551;1213;1487;59983
"350600 Bauru";23041;23215;24906;26624;27794;30963;31552;28768;25631;24477;23259;20348;16371;12306;9048;6876;8372;363551
"350610 Bebedouro";4798;4802;5147;5634;5976;6387;6313;5856;5525;5230;4924;4480;3643;2874;2086;1563;1943;77181
"350620 Bento de Abreu";206;202;203;223;226;232;250;219;213;199;163;136;111;85;68;56;57;2849
"350630 Bernardino de Campos";714;729;738;809;870;835;763;761;742;736;740;616;550;445;375;286;383;11092
"350635 Bertioga";5055;4728;4931;5034;4435;4761;4656;4445;3938;3449;2872;2326;1765;1213;783;486;487;55364
"350640 Bilac";370;404;476;541;567;613;615;578;578;551;507;468;391;301;233;178;220;7591
"350650 Birigui";7334;7427;7538;8293;8890;9619;9946;9537;9122;8646;7648;6515;5246;3948;2917;2023;2324;116973
"350660 Biritiba-Mirim";2474;2375;2536;2603;2515;2553;2427;2211;2115;1966;1764;1392;1211;993;683;505;466;30789
"350670 Boa Esperança do Sul";1137;1089;1122;1242;1223;1217;1202;1091;961;942;851;692;567;389;281;179;226;14411
"350680 Bocaina";780;794;873;906;934;992;1032;942;805;777;712;569;487;352;246;213;260;11674
"350690 Bofete";812;777;810;831;797;750;748;743;693;712;677;636;554;426;331;213;197;10707
"350700 Boituva";4073;3980;4109;4344;4562;5159;5067;4453;3877;3530;3067;2558;2029;1469;1007;713;723;54720
"350710 Bom Jesus dos Perdões";1716;1674;1814;1886;1858;1950;1988;1753;1626;1465;1333;1078;753;626;436;287;335;22578
"350715 Bom Sucesso de Itararé";371;340;357;382;354;286;285;275;255;226;183;146;116;80;58;40;40;3794
"350720 Borá";55;55;47;65;82;69;89;68;59;51;52;49;32;19;15;11;12;830
"350730 Boracéia";357;356;334;368;387;389;364;316;304;277;259;219;188;164;113;82;101;4578
"350740 Borborema";940;977;1079;1065;1137;1302;1261;1170;1059;1054;1056;898;733;550;419;331;384;15415
"350745 Borebi";201;195;198;213;209;193;175;186;166;173;148;121;110;61;51;36;52;2488
"350750 Botucatu";9300;9270;9642;10203;10574;11658;11831;10837;9464;8840;8436;7518;6183;4675;3391;2559;3376;137757
"350760 Bragança Paulista";10069;10120;10901;12167;12529;13442;13635;12916;11367;10456;9924;8817;7015;5433;3765;2783;3348;158687
"350770 Braúna";366;372;368;398;403;459;449;377;352;336;305;298;244;188;177;140;159;5391
"350775 Brejo Alegre";170;176;208;218;213;222;234;244;193;172;154;150;119;91;77;42;58;2741
"350780 Brodowski";1540;1554;1755;1894;1942;1954;1862;1689;1588;1574;1438;1180;973;723;551;418;497;23132
"350790 Brotas";1669;1639;1699;1842;1880;1916;1904;1757;1592;1483;1382;1205;940;744;571;415;516;23154
"350800 Buri";1794;1720;1750;1697;1592;1507;1452;1378;1263;1110;1044;887;704;534;397;290;295;19414
"350810 Buritama";1093;1082;1005;1128;1240;1315;1301;1224;1223;1165;1117;969;768;650;460;335;336;16411
"350820 Buritizal";282;277;277;299;327;355;363;324;288;281;274;249;212;173;120;94;108;4303
"350830 Cabrália Paulista";319;321;339;351;380;335;346;311;314;290;253;235;181;144;104;75;82;4380
"350840 Cabreúva";3889;3704;3895;4084;4022;4144;4034;3562;3238;2891;2409;1823;1409;1072;701;441;526;45844
"350850 Caçapava";6389;6331;6421;6859;7024;7549;7787;7148;6464;5957;5563;4851;3852;2979;2045;1387;1617;90223
"350860 Cachoeira Paulista";2242;2235;2267;2353;2456;2633;2701;2475;2160;2070;2052;1795;1424;1095;774;537;701;31970
"350870 Caconde";1310;1306;1475;1538;1466;1383;1307;1269;1191;1272;1242;1065;891;747;525;418;458;18863
"350880 Cafelândia";1139;1137;1143;1281;1344;1392;1400;1312;1190;1128;1071;990;839;634;492;398;470;17360
"350890 Caiabu";256;258;279;313;338;345;284;264;298;326;294;230;191;152;133;104;117;4182
"350900 Caieiras";7283;7102;7372;7969;7927;8328;8135;7595;7044;6647;5749;4487;3335;2288;1383;882;956;94482
"350910 Caiuá";326;346;398;402;395;421;381;359;435;424;425;304;272;200;159;125;115;5487
"350920 Cajamar";5932;5676;5870;6319;6358;6747;6491;5847;5069;4377;3686;2872;2041;1360;927;587;580;70739
"350925 Cajati";2581;2433;2501;2568;2363;2202;2210;2184;1903;1691;1515;1273;1050;791;635;456;486;28842
"350930 Cajobi";588;624;702;727;865;940;871;709;685;691;679;563;476;380;288;227;237;10252
"350940 Cajuru";1836;1817;1889;2038;2115;2111;1978;1809;1664;1600;1470;1259;975;791;585;459;562;24958
"350945 Campina do Monte Alegre";443;435;478;473;451;461;452;410;389;391;371;289;258;191;132;107;120;5851
"350950 Campinas";71801;71847;75615;84524;89353;102402;104990;94704;82987;78062;71639;63695;50906;38287;27094;20149;24009;1152064
"350960 Campo Limpo Paulista";6075;5943;5992;6389;6649;7033;6978;6241;5706;5200;4778;4150;3241;2162;1399;951;993;79880
"350970 Campos do Jordão";3790;3688;3994;4337;4270;4203;4178;4040;3762;3477;3020;2455;1797;1292;838;612;640;50393
"350980 Campos Novos Paulista";371;368;380;380;361;347;367;339;306;316;297;222;218;179;143;88;112;4794
"350990 Cananéia";1020;965;1018;1084;977;884;897;944;812;736;724;659;557;427;329;234;269;12536
"350995 Canas";450;438;415;407;401;418;391;330;300;302;273;200;161;105;83;52;60;4786
"351000 Cândido Mota";2067;2049;2062;2271;2415;2565;2291;2184;2129;2191;2077;1809;1459;1118;842;644;754;30927
"351010 Cândido Rodrigues";133;148;173;163;201;248;192;180;180;202;212;173;131;144;102;82;97;2761
"351015 Canitar";428;426;482;433;382;392;403;366;318;255;252;196;165;119;83;64;49;4813
"351020 Capão Bonito";3644;3580;3903;4004;3910;3748;3655;3551;3239;2952;2674;2320;1907;1512;1094;765;790;47248
"351030 Capela do Alto";1449;1429;1602;1659;1652;1688;1547;1476;1322;1224;1088;914;717;568;372;263;240;19210
"351040 Capivari";3914;3874;3998;4150;4389;4663;4497;4170;3706;3495;3004;2543;1956;1415;1025;753;948;52500
"351050 Caraguatatuba";8637;8261;8541;8935;8768;8965;9108;8884;7962;7270;6368;5743;4802;3548;2471;1636;1695;111594
"351060 Carapicuíba";30857;29958;31519;32703;31918;35041;35773;32099;28141;24572;20768;17835;14347;9879;6112;3771;3562;388855
"351070 Cardoso";786;788;757;797;866;944;903;846;808;862;861;787;656;520;425;287;310;12203
"351080 Casa Branca";1834;1837;1979;2195;2308;2588;2702;2325;1976;1989;1835;1627;1354;1010;754;557;765;29635
"351090 Cássia dos Coqueiros";156;164;185;193;211;179;192;164;178;180;193;156;143;97;82;66;81;2620
"351100 Castilho";1455;1436;1364;1499;1526;1547;1470;1512;1463;1352;1242;1054;859;644;469;339;379;19610
"351110 Catanduva";7018;7007;7038;7981;8824;9819;10054;9162;8514;8492;7887;7002;5782;4452;3393;2758;3282;118465
"351120 Catiguá";491;496;526;531;589;639;656;593;547;541;499;412;322;238;158;131;162;7531
"351130 Cedral";500;513;554;584;588;683;683;695;618;598;544;508;405;371;277;239;294;8654
"351140 Cerqueira César";1389;1419;1485;1470;1592;1549;1398;1337;1279;1190;1109;961;813;630;477;373;412;18883
"351150 Cerquilho";2939;2944;3069;3426;3467;4030;3917;3633;3160;2958;2715;2387;1917;1357;961;710;796;44386
"351160 Cesário Lange";1260;1202;1222;1380;1383;1557;1495;1359;1189;1026;932;797;691;552;378;268;243;16934
"351170 Charqueada";1168;1165;1214;1312;1418;1516;1382;1222;1148;969;929;801;628;486;348;261;279;16246
"355720 Chavantes";920;897;906;992;946;942;996;918;867;802;739;682;572;445;329;226;239;12418
"351190 Clementina";640;623;595;586;729;869;730;556;458;442;419;338;260;207;136;119;158;7865
"351200 Colina";1143;1176;1266;1356;1459;1621;1507;1325;1238;1227;1187;984;789;629;451;340;408;18106
"351210 Colômbia";421;419;447;497;549;548;524;490;440;397;372;312;248;198;147;87;78;6174
"351220 Conchal";2031;1980;2162;2331;2446;2576;2326;1964;1705;1655;1440;1220;968;735;534;386;394;26853
"351230 Conchas";1304;1283;1264;1270;1257;1315;1267;1196;1112;1159;1126;993;783;612;489;365;445;17240
"351240 Cordeirópolis";1586;1575;1712;1822;1877;2069;1995;1830;1627;1479;1316;1150;892;688;485;370;458;22931
"351250 Coroados";409;394;357;416;455;469;464;446;423;375;350;321;263;187;129;104;120;5682
"351260 Coronel Macedo";357;350;361;391;366;361;321;319;344;335;369;309;228;181;132;103;98;4925
"351270 Corumbataí";257;270;313;324;306;342;322;291;277;265;250;213;179;143;98;72;87;4009
"351280 Cosmópolis";5044;5019;5095;5250;5538;6098;6042;5374;4623;4265;3740;2968;2261;1631;1144;768;854;65714
"351290 Cosmorama";387;398;431;484;484;549;588;495;492;533;508;483;423;364;280;230;226;7355
"351300 Cotia";17831;17426;17995;18788;18239;19515;20513;18953;16489;14860;12905;10713;7979;5397;3378;2195;2497;225673
"351310 Cravinhos";2337;2326;2527;2739;2807;2964;2896;2558;2339;2210;2007;1807;1364;1011;721;540;604;33757
"351320 Cristais Paulista";562;562;615;627;681;711;694;601;531;510;538;480;361;241;176;127;148;8165
"351330 Cruzália";121;126;132;151;152;164;152;160;150;189;193;143;116;77;69;56;63;2214
"351340 Cruzeiro";5590;5555;5680;6078;6283;6579;6655;6190;5424;5336;5248;4620;3663;2698;1907;1420;1526;80452
"351350 Cubatão";9839;9761;10317;10536;10628;11366;11273;10030;8888;8509;7285;5841;4234;2808;1947;1288;1228;125778
"351360 Cunha";1366;1391;1643;1767;1787;1599;1614;1591;1615;1635;1448;1221;1003;826;659;427;430;22022
"351370 Descalvado";1984;1996;2104;2347;2527;2838;2797;2474;2341;2193;2115;1844;1517;1182;886;677;866;32688
"351380 Diadema";31016;30444;32498;34342;33956;37565;37359;33869;30404;27401;22891;18873;14215;9754;6009;4011;3901;408508
"351385 Dirce Reis";106;108;91;102;129;133;116;127;125;131;133;112;87;86;76;57;40;1759
"351390 Divinolândia";612;625;683;797;914;903;876;824;826;824;802;749;659;470;343;267;293;11467
"351400 Dobrada";716;707;724;765;760;834;802;645;511;471;413;324;271;208;135;98;112;8496
"351410 Dois Córregos";2038;1985;1909;2011;2130;2262;2224;1957;1717;1590;1468;1269;1047;853;619;518;660;26257
"351420 Dolcinópolis";106;118;139;135;152;143;129;176;146;146;167;138;131;95;86;69;58;2134
"351430 Dourado";521;526;572;611;693;712;690;639;616;593;595;552;434;359;252;217;265;8847
"351440 Dracena";2408;2513;2645;2927;3286;3700;3803;3492;3315;3250;3161;2850;2296;1832;1460;1177;1338;45453
"351450 Duartina";723;751;808;825;948;957;947;906;869;887;842;766;654;504;393;315;412;12507
"351460 Dumont";619;634;717;743;791;917;828;673;588;564;509;447;345;225;159;122;155;9036
"351470 Echaporã";432;429;423;484;493;462;441;414;411;435;439;341;305;257;188;152;201;6307
"351480 Eldorado";1370;1291;1408;1458;1235;1059;1055;1004;931;888;799;675;585;479;400;276;316;15229
"351490 Elias Fausto";1228;1189;1322;1427;1385;1566;1475;1308;1205;1121;937;833;614;456;331;246;253;16896
"351492 Elisiário";218;211;202;255;273;312;310;285;251;208;183;175;157;116;87;79;81;3403
"351495 Embaúba";147;152;165;161;184;215;214;179;164;179;163;144;124;91;74;56;58;2470
"351500 Embu das Artes";21467;20724;21871;23161;22190;23293;23684;21756;18709;16123;13010;11135;8490;5808;3515;1978;1783;258697
"351510 Embu-Guaçu";5169;5145;5629;5882;5448;5591;5478;5184;4641;4190;3725;3246;2465;1851;1277;832;874;66627
"351512 Emilianópolis";181;194;205;210;242;247;215;225;239;231;220;176;152;138;113;85;77;3150
"351515 Engenheiro Coelho";1544;1536;1650;1686;1622;1899;1832;1425;1123;1022;840;575;460;363;264;194;189;18224
"351518 Espírito Santo do Pinhal";2570;2602;2887;3237;3324;3586;3466;3268;3187;3139;2875;2557;2044;1624;1156;934;1124;43580
"351519 Espírito Santo do Turvo";381;372;378;380;407;413;363;322;286;286;279;214;175;119;86;53;54;4568
"355730 Estiva Gerbi";752;739;769;856;898;957;917;813;789;741;711;572;440;291;200;157;150;10752
"351520 Estrela d'Oeste";473;486;526;553;596;692;673;635;607;598;601;521;404;360;246;216;229;8416
"351530 Estrela do Norte";206;208;197;219;242;225;193;185;191;207;191;140;98;81;61;46;54;2744
"351535 Euclides da Cunha Paulista";745;724;771;813;805;731;686;703;706;679;571;454;365;282;250;172;163;9620
"351540 Fartura";1088;1082;1084;1173;1221;1234;1207;1097;1055;1097;1048;943;757;594;473;330;372;15855
"351560 Fernando Prestes";341;340;328;351;396;454;430;409;398;402;363;325;302;283;221;174;206;5723
"351550 Fernandópolis";3597;3767;4172;4533;4891;5314;5402;5090;4847;4956;4729;4253;3476;2759;2223;1663;1914;67586
"351565 Fernão";107;107;119;115;115;139;131;135;120;103;91;93;77;75;51;34;41;1653
"351570 Ferraz de Vasconcelos";15049;14534;15554;16953;16377;16505;15615;14018;12892;11774;9867;8037;5917;3865;2433;1554;1433;182377
"351580 Flora Rica";76;84;94;120;116;105;103;96;112;137;132;95;88;83;71;52;82;1646
"351590 Floreal";99;119;172;179;211;206;205;193;216;246;238;223;187;160;125;107;119;3005
"351600 Flórida Paulista";833;831;888;1023;1111;1425;1430;1141;946;874;788;654;514;464;337;272;305;13836
"351610 Florínia";173;176;197;200;210;194;199;195;195;204;186;174;158;132;82;63;61;2799
"351620 Franca";23524;23472;25402;26903;27801;29067;27346;25190;23703;23121;21314;18062;14217;10850;7429;5354;5906;338661
"351630 Francisco Morato";15059;14283;14929;15753;14997;15195;14303;12410;10752;9783;8375;7333;5449;3334;2052;1182;1082;166271
"351640 Franco da Rocha";11217;10884;11765;12575;12454;14068;13958;12101;9992;8557;7226;6332;4939;3306;1919;1230;1251;143774
"351650 Gabriel Monteiro";150;153;152;165;182;202;217;183;215;239;210;181;147;125;97;77;81;2776
"351660 Gália";419;403;428;483;501;521;544;519;496;445;424;454;351;307;221;165;217;6898
"351670 Garça";2881;2874;3020;3222;3367;3581;3500;3445;3012;3000;2772;2543;2164;1609;1180;938;1177;44285
"351680 Gastão Vidigal";314;311;310;309;347;564;472;319;256;264;238;204;185;160;119;79;78;4529
"351685 Gavião Peixoto";349;341;356;364;410;441;397;339;335;319;262;199;161;126;84;79;85;4647
"351690 General Salgado";637;650;648;713;815;908;818;762;767;832;806;686;576;444;329;254;261;10906
"351700 Getulina";682;679;771;849;889;997;1087;997;784;671;630;580;453;370;289;221;255;11204
"351710 Glicério";342;343;340;363;371;341;360;346;346;320;293;272;224;167;123;86;104;4741
"351720 Guaiçara";867;834;848;925;946;1009;934;847;801;775;690;579;451;332;258;204;195;11495
"351730 Guaimbê";429;418;420;440;445;459;460;392;359;358;330;291;243;194;175;111;129;5653
