"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";1856;2033;2233;2567;2751;2602;2469;2410;2559;2598;2386;2059;1732;1376;1181;922;960;34694
"350020 Adolfo";212;242;254;259;282;271;248;249;267;273;272;220;193;136;113;70;76;3637
"350030 Aguaí";2548;2509;2689;2826;2941;3039;2682;2319;2205;2094;1939;1596;1316;858;694;523;556;33334
"350040 Águas da Prata";453;478;511;563;597;569;522;529;529;582;552;473;394;314;273;220;262;7821
"350050 Águas de Lindóia";1103;1164;1323;1318;1368;1486;1449;1302;1289;1211;1108;958;793;591;501;384;465;17813
"350055 Águas de Santa Bárbara";409;413;490;452;415;435;411;416;409;381;359;319;282;194;149;115;131;5780
"350060 Águas de São Pedro";130;149;180;197;163;177;195;189;199;211;187;165;173;158;134;102;142;2851
"350070 Agudos";2589;2623;2953;3044;3100;3069;2905;2674;2423;2256;2059;1768;1342;971;751;503;567;35597
"350075 Alambari";408;433;470;428;434;453;414;340;316;287;283;248;200;144;104;74;86;5122
"350080 Alfredo Marcondes";202;242;260;289;308;267;270;279;287;286;263;234;214;198;152;118;140;4009
"350090 Altair";322;305;324;337;347;381;349;294;279;240;183;150;138;109;74;50;57;3939
"350100 Altinópolis";981;1104;1296;1291;1296;1346;1277;1079;1063;1039;971;890;749;550;416;313;359;16020
"350110 Alto Alegre";237;240;270;290;341;325;282;276;269;296;266;266;233;205;163;109;125;4193
"350115 Alumínio";1377;1507;1559;1480;1505;1572;1526;1395;1266;1074;850;700;535;410;317;172;171;17416
"350120 Álvares Florence";178;202;255;264;253;253;236;267;333;320;301;267;260;203;169;100;98;3959
"350130 Álvares Machado";1575;1808;1968;2029;2031;1833;1764;1759;1776;1645;1437;1204;1073;789;612;406;486;24195
"350140 Álvaro de Carvalho";290;275;318;296;512;703;602;416;288;233;222;183;142;121;84;63;71;4819
"350150 Alvinlândia";246;237;276;256;249;238;263;214;200;186;173;143;125;107;73;55;51;3092
"350160 Americana";13122;13453;14749;15970;18096;19465;18505;16934;16686;16326;14816;11925;9073;6460;5122;3753;4145;218600
"350170 Américo Brasiliense";2858;2802;3093;3124;3427;3467;3296;2870;2664;2201;1786;1413;1043;742;505;335;300;35926
"350180 Américo de Campos";334;369;437;410;447;423;426;374;409;437;425;338;299;269;202;118;146;5863
"350190 Amparo";3963;4282;4735;5094;5679;6066;5519;5188;4863;4701;4342;3673;2888;2227;1806;1377;1612;68015
"350200 Analândia";336;338;341;356;364;383;326;318;287;288;269;213;185;153;137;93;81;4468
"350210 Andradina";3434;3572;4009;4157;4471;4529;4548;4314;4143;4097;3691;3094;2652;2092;1634;1105;1231;56773
"350220 Angatuba";1717;1820;1927;1952;1903;1842;1726;1643;1636;1574;1375;1153;918;661;477;342;380;23046
"350230 Anhembi";495;510;532;492;440;446;468;434;402;365;332;278;220;169;129;90;98;5900
"350240 Anhumas";257;288;327;316;318;298;287;262;285;271;229;186;159;122;116;63;80;3864
"350250 Aparecida";2437;2500;2683;2952;3121;3131;2795;2634;2584;2462;2303;1843;1465;1046;793;526;642;35917
"350260 Aparecida d'Oeste";230;278;342;329;308;262;297;312;348;328;304;308;241;197;199;118;120;4521
"350270 Apiaí";1970;2252;2662;2434;1973;1947;1874;1854;1670;1564;1386;1147;930;685;543;385;384;25660
"350275 Araçariguama";1711;1655;1702;1627;1684;1617;1511;1367;1180;1024;883;660;510;355;248;161;162;18057
"350280 Araçatuba";11396;11447;12930;13379;14594;15593;15322;14508;14283;13923;12530;10537;8287;6241;4994;3496;3908;187368
"350290 Araçoiaba da Serra";2043;2108;2417;2326;2226;2216;2192;2146;2064;1939;1767;1524;1237;904;644;454;473;28680
"350300 Aramina";327;344;393;428;456;448;388;359;379;403;342;277;221;185;161;110;98;5319
"350310 Arandu";426;471;567;578;523;478;504;450;396;400;375;326;253;193;153;95;98;6286
"350315 Arapeí";183;198;219;214;199;182;165;167;187;198;155;119;91;85;67;59;58;2546
"350320 Araraquara";13052;13168;14610;15841;18369;19437;18618;16332;15415;15226;13897;11770;9442;6799;5383;4081;4966;216406
"350330 Araras";7898;7940;8985;9654;10677;11189;10330;9288;8806;8560;7844;6357;4955;3635;2743;2099;2269;123229
"350335 Arco-Íris";116;118;135;155;146;148;138;132;144;130;139;110;97;93;64;44;44;1953
"350340 Arealva";483;539;591;596;586;560;548;515;549;587;555;475;439;352;275;210;237;8097
"350350 Areias";299;332;359;335;295;273;286;270;263;238;222;166;126;108;87;52;89;3800
"350360 Areiópolis";862;946;992;976;1080;983;853;851;782;661;531;415;307;237;174;118;109;10877
"350370 Ariranha";625;615;659;650;790;801;727;683;624;558;506;447;359;245;213;189;173;8864
"350380 Artur Nogueira";3435;3572;3858;3795;4178;4419;4002;3612;3296;2964;2484;1997;1553;1143;814;579;615;46316
"350390 Arujá";5974;6567;7179;6812;6733;6889;6665;6007;5615;5014;4407;3609;2535;1628;1071;741;812;78258
"350395 Aspásia";98;114;128;144;142;119;110;131;161;145;127;112;95;85;59;39;41;1850
"350400 Assis";6271;6240;6840;7321;8370;8361;8004;7238;7018;6865;6335;5358;4213;3240;2538;1932;2163;98307
"350410 Atibaia";8851;9589;10508;10215;10800;11097;10779;9956;9205;8845;7834;6471;5173;4016;3055;2213;2641;131248
"350420 Auriflama";825;916;983;1193;1214;1142;1128;1062;1104;1069;925;772;675;535;434;319;334;14630
"350430 Avaí";374;396;457;489;434;376;372;361;342;334;293;258;207;144;117;77;89;5120
"350440 Avanhandava";868;840;943;1000;1334;1276;999;865;805;695;601;459;381;265;202;149;144;11826
"350450 Avaré";5983;6150;6554;6697;7379;7430;7241;6393;5759;5496;5067;4370;3476;2542;1990;1474;1653;85654
"350460 Bady Bassitt";995;1022;1185;1175;1196;1247;1315;1300;1206;1057;947;749;576;442;365;244;235;15256
"350470 Balbinos";87;90;99;124;534;916;802;463;261;171;130;108;65;51;42;35;36;4014
"350480 Bálsamo";497;477;558;590;628;670;670;620;637;652;547;489;392;327;270;197;223;8444
"350490 Bananal";792;790;888;853;795;802;818;740;712;693;616;514;455;339;272;203;250;10532
"350500 Barão de Antonina";250;271;283;248;239;206;231;204;196;216;217;179;144;114;96;61;70;3225
"350510 Barbosa";510;535;615;579;564;505;506;463;478;460;394;328;276;211;170;122;116;6832
"350520 Bariri";2157;2330;2586;2470;2611;2704;2481;2248;2183;2214;2052;1725;1365;1095;905;725;861;32712
"350530 Barra Bonita";2020;2159;2449;2648;2851;2996;3021;2851;2847;2776;2425;1950;1567;1199;956;702;714;36131
"350535 Barra do Chapéu";461;482;568;489;413;416;395;387;338;312;284;232;183;157;128;90;80;5415
"350540 Barra do Turvo";705;755;847;705;552;506;525;495;451;436;417;391;326;287;234;141;120;7893
"350550 Barretos";7491;7660;8253;8832;9851;10186;9515;8523;8071;8038;7220;6017;4863;3782;3015;2086;2325;115728
"350560 Barrinha";2580;2532;2642;2623;2939;3029;2666;2249;1965;1693;1409;1042;752;529;389;286;293;29618
"350570 Barueri";19766;19990;22230;21715;23250;24092;22442;19885;18261;15938;13248;10262;7259;4535;2956;1889;2170;249888
"350580 Bastos";1467;1545;1656;1706;1694;1634;1555;1515;1578;1520;1314;1063;847;635;498;348;383;20958
"350590 Batatais";3722;3976;4381;4709;4883;4970;4724;4056;3988;3915;3703;3168;2497;1842;1484;1117;1281;58416
"350600 Bauru";22921;24079;26203;26783;29672;31743;30106;26742;25080;24256;22031;18427;14417;10802;8501;6367;7183;355313
"350610 Bebedouro";4846;5152;5807;6027;6339;6481;6147;5737;5422;5141;4825;4091;3349;2519;1961;1423;1718;76985
"350620 Bento de Abreu";199;201;224;219;221;246;230;219;210;174;149;129;102;80;69;50;46;2768
"350630 Bernardino de Campos";722;744;846;905;873;779;761;746;732;765;666;601;505;439;351;287;335;11057
"350635 Bertioga";4593;4603;4828;4231;4424;4498;4469;4049;3499;2945;2443;1961;1471;993;650;404;407;50468
"350640 Bilac";363;426;515;549;576;600;564;561;550;512;480;428;346;273;217;172;184;7316
"350650 Birigui";7239;7251;7990;8459;9111;9724;9588;9207;8842;8076;7034;5861;4587;3503;2579;1790;1993;112834
"350660 Biritiba-Mirim";2386;2518;2731;2569;2536;2467;2248;2154;1997;1829;1499;1292;1153;836;649;428;374;29666
"350670 Boa Esperança do Sul";1113;1114;1260;1231;1217;1230;1148;1000;959;911;760;661;492;368;242;188;199;14093
"350680 Bocaina";755;829;898;903;943;1000;958;837;789;752;635;549;434;299;260;201;225;11267
"350690 Bofete";759;812;881;821;739;716;722;679;658;613;600;571;488;396;281;176;159;10071
"350700 Boituva";3804;3851;4081;4131;4662;4914;4556;3967;3572;3168;2723;2257;1759;1241;920;612;604;50822
"350710 Bom Jesus dos Perdões";1590;1700;1808;1734;1772;1886;1741;1616;1450;1348;1166;848;704;528;366;257;281;20795
"350715 Bom Sucesso de Itararé";352;363;415;393;304;283;281;270;239;197;160;135;101;75;56;29;41;3694
"350720 Borá";54;49;60;79;66;87;76;63;55;56;55;39;26;21;17;11;12;826
"350730 Boracéia";348;331;365;387;386;373;328;316;289;271;237;206;187;138;102;73;89;4426
"350740 Borborema";934;1039;1081;1089;1238;1273;1193;1080;1043;1068;966;815;653;499;413;312;328;15024
"350745 Borebi";194;198;216;216;206;175;178;166;168;160;126;120;77;61;43;42;39;2385
"350750 Botucatu";9029;9309;10060;10111;10963;11622;11111;9799;8950;8623;7981;6852;5423;4038;3111;2437;2910;132329
"350760 Bragança Paulista";9773;10335;11903;12098;12701;13268;13090;11766;10649;10126;9330;7696;6323;4567;3469;2498;2897;152489
"350770 Braúna";353;345;385;392;443;456;395;363;341;312;309;272;211;196;173;126;136;5208
"350775 Brejo Alegre";166;198;232;210;208;220;247;211;183;158;150;134;104;94;59;33;57;2664
"350780 Brodowski";1457;1638;1835;1877;1875;1822;1714;1598;1566;1493;1279;1067;835;644;515;367;428;22010
"350790 Brotas";1616;1645;1823;1860;1858;1886;1811;1645;1518;1429;1297;1058;867;693;521;412;440;22379
"350800 Buri";1751;1855;1904;1719;1553;1495;1444;1362;1177;1095;968;795;636;486;377;259;249;19125
"350810 Buritama";1087;1018;1114;1197;1273;1291;1233;1221;1173;1129;1039;844;756;569;437;287;288;15956
"350820 Buritizal";281;275;292;311;341;366;340;304;283;270;256;228;202;145;120;80;98;4192
"350830 Cabrália Paulista";327;360;382;410;354;364;332;327;311;270;254;209;175;133;100;72;71;4451
"350840 Cabreúva";3702;3756;3979;3886;4020;4081;3693;3362;3041;2633;2060;1644;1263;893;571;423;438;43445
"350850 Caçapava";6315;6382;6946;6957;7281;7757;7425;6747;6162;5808;5233;4344;3460;2511;1773;1233;1380;87714
"350860 Cachoeira Paulista";2218;2279;2419;2437;2528;2660;2576;2251;2072;2095;1939;1614;1283;951;677;518;610;31127
"350870 Caconde";1298;1490;1712;1598;1446;1334;1299;1200;1254;1261;1140;968;866;635;525;364;397;18787
"350880 Cafelândia";1136;1136;1304;1364;1372;1383;1346;1236;1163;1104;1042;927;747;580;491;370;407;17108
