"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350480 Bálsamo";502;516;468;562;616;668;683;680;621;654;660;512;473;353;296;227;273;8764
"350490 Bananal";811;783;745;834;823;784;795;805;718;708;675;573;470;416;288;224;292;10744
"350500 Barão de Antonina";265;254;257;241;238;253;206;249;200;199;225;218;167;124;98;77;80;3351
"350510 Barbosa";528;504;523;592;562;576;494;529;470;492;463;377;295;249;181;141;149;7125
"350520 Bariri";2241;2205;2400;2588;2520;2736;2764;2454;2228;2179;2219;1962;1586;1207;961;747;1025;34022
"350530 Barra Bonita";1976;1984;2101;2321;2606;2842;2948;2960;2770;2781;2680;2251;1782;1400;1037;787;903;36129
"350535 Barra do Chapéu";496;445;422;493;447;409;438;390;387;332;313;277;215;162;139;104;105;5574
"350540 Barra do Turvo";724;634;612;654;600;512;494;524;489;441;437;407;375;279;250;186;155;7773
"350550 Barretos";7572;7604;7609;8070;9114;10326;10278;9326;8362;7980;7890;6756;5487;4234;3222;2421;2748;118999
"350560 Barrinha";2725;2534;2587;2701;2703;3059;3012;2491;2115;1859;1556;1274;893;643;438;306;362;31258
"350570 Barueri";20552;19499;20318;22757;21969;23703;23952;21643;19032;17441;14878;12174;9257;6413;3764;2377;2631;262360
"350580 Bastos";1436;1404;1461;1497;1613;1618;1572;1505;1495;1567;1480;1230;944;740;536;399;459;20956
"350590 Batatais";3813;3788;4067;4371;4853;4969;5058;4707;3932;3982;3809;3580;2953;2236;1598;1241;1560;60517
"350600 Bauru";23205;22977;24590;26361;27385;30523;31818;29421;25965;24514;23616;20912;17047;12831;9375;7027;8787;366354
