"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";1722;1822;1874;1877;2031;2559;2802;2595;2468;2455;2610;2526;2176;1750;1364;1005;1432;35068
"350020 Adolfo";192;202;192;190;200;245;286;247;232;258;278;273;253;179;138;86;111;3562
"350030 Aguaí";2674;2639;2573;2561;2793;2984;3074;2977;2489;2218;2144;1967;1703;1265;920;550;774;36305
"350040 Águas da Prata";435;441;441;426;454;552;614;575;532;552;582;645;569;432;320;240;370;8180
"350050 Águas de Lindóia";1097;1102;1051;1108;1290;1347;1422;1497;1389;1290;1317;1194;1037;836;635;438;655;18705
"350055 Águas de Santa Bárbara";420;408;359;364;458;433;421;429;415;436;422;388;340;267;209;128;178;6075
"350060 Águas de São Pedro";141;163;163;156;183;227;219;244;230;221;260;279;223;189;185;146;222;3451
"350070 Agudos";2600;2559;2413;2404;2730;3003;3113;2954;2743;2547;2321;2130;1856;1424;963;653;801;37214
"350075 Alambari";495;465;422;441;469;444;487;510;438;348;330;305;288;214;151;97;121;6025
"350080 Alfredo Marcondes";192;194;207;232;225;269;315;265;288;315;315;306;263;219;196;157;208;4166
"350090 Altair";324;315;306;306;338;341;354;371;311;260;248;198;139;113;98;66;72;4160
"350100 Altinópolis";961;964;940;1028;1190;1241;1275;1290;1153;1001;1044;1000;900;755;567;375;500;16184
"350110 Alto Alegre";215;222;220;217;246;289;343;292;254;265;282;289;236;227;184;144;174;4099
"350115 Alumínio";1429;1384;1336;1483;1542;1514;1531;1504;1364;1241;1134;922;724;566;391;280;283;18628
"350120 Álvares Florence";155;165;161;161;201;240;258;250;233;286;342;306;270;208;177;124;142;3679
"350130 Álvares Machado";1549;1522;1515;1680;1777;1947;1946;1740;1721;1732;1728;1571;1322;1050;854;556;705;24915
"350140 Álvaro de Carvalho";305;291;297;385;484;385;557;581;457;328;250;230;216;155;115;89;102;5227
"350150 Alvinlândia";249;251;226;209;239;238;246;242;263;204;184;167;155;114;92;69;74;3222
"350160 Americana";13494;13718;13890;14492;16350;18404;20424;20541;18505;16828;16492;15479;13183;9909;7017;4644;6227;239597
"350170 Américo Brasiliense";3111;3060;2947;3045;3382;3412;3642;3430;3059;2654;2467;1914;1497;1119;767;497;501;40504
